"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<Vietnamese>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"germ_panzerbefelhswagen_VI_P/verve/desc";"[Thunder League] Verve";"[Thunder League] Verve Team";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Ліга Грому] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_panzerbefelhswagen_jagdpanther/dislike/desc";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Ліга Грому] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_panzerbefelhswagen_jagdpanther/germ_panzerbefelhswagen_jagdpanther_dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Ліга Грому] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_panzerbefelhswagen_jagdpanther/germ_panzerbefelhswagen_jagdpanther_verve";"[Thunder League] Verve";"[Thunder League] Verve Team";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Ліга Грому] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_panzerbefelhswagen_jagdpanther/verve/desc";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Ліга Грому] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_panzerjager_panther/dislike/desc";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Ліга Грому] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_panzerjager_panther/germ_panzerjager_panther_dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Ліга Грому] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_panzerjager_panther/germ_panzerjager_panther_verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Ліга Грому] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_panzerjager_panther/verve/desc";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Ліга Грому] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_panzerjager_tiger_P_ferdinand/dislike/desc";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Ліга Грому] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_panzerjager_tiger_P_ferdinand/germ_panzerjager_tiger_P_ferdinand_dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Ліга Грому] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_panzerjager_tiger_P_ferdinand/germ_panzerjager_tiger_P_ferdinand_verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_panzerjager_tiger_P_ferdinand/verve/desc";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_pzkpfw_VI_ausf_b_tiger_IIh/dislike/desc";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_pzkpfw_VI_ausf_b_tiger_IIh/germ_pzkpfw_VI_ausf_b_tiger_IIh_dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_pzkpfw_VI_ausf_b_tiger_IIh/germ_pzkpfw_VI_ausf_b_tiger_IIh_poltergeist_team";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist
";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder liga] Poltergeist";"[Thunder Ligi] Poltergeist";"【雷\t霆\t联\t赛\t】\tPoltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder Liga] Poltergeist";"[Thunder League] Poltergeist";"[썬더 리그] 폴터가이스트";"[Ліга Грому] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"【雷霆聯賽】Poltergeist";"[Thunder League] Poltergeist";;
"germ_pzkpfw_VI_ausf_b_tiger_IIh/germ_pzkpfw_VI_ausf_b_tiger_IIh_verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_pzkpfw_VI_ausf_b_tiger_IIh/verve/desc";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_pzkpfw_VI_ausf_b_tiger_IIh_poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist
";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist_team";"[Thunder League] Poltergeist";"[Thunder liga] Poltergeist";"[Thunder Ligi] Poltergeist";"【雷\t霆\t联\t赛\t】\tPoltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder Liga] Poltergeist";"[Thunder League] Poltergeist";"[썬더 리그] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"[Thunder League] Poltergeist";"【雷霆聯賽】Poltergeist";"[Thunder League] Poltergeist";;
"germ_pzkpfw_VI_ausf_b_tiger_IIp/dislike/desc";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_pzkpfw_VI_ausf_b_tiger_IIp/germ_pzkpfw_VI_ausf_b_tiger_IIp_dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_pzkpfw_VI_ausf_b_tiger_IIp/germ_pzkpfw_VI_ausf_b_tiger_IIp_verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_pzkpfw_VI_ausf_b_tiger_IIp/verve/desc";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Ліга Грому] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_pzkpfw_VI_ausf_h1_tiger/germ_pzkpfw_VI_ausf_h1_tiger_tank_der_adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder liga] Der Adler";"[Thunder Ligi] Der Adler";"【雷\t霆\t联\t赛\t】\tDer Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder Liga] Der Adler";"[Thunder League] Der Adler";"[썬더 리그] Der Adler";"[Ліга Грому] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"【雷霆聯賽】Der Adler";"[Thunder League] Der Adler";;
"germ_pzkpfw_VI_ausf_h1_tiger_tank_der_adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder liga] Der Adler";"[Thunder Ligi] Der Adler";"【雷\t霆\t联\t赛\t】\tDer Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder Liga] Der Adler";"[Thunder League] Der Adler";"[썬더 리그] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"[Thunder League] Der Adler";"【雷霆聯賽】Der Adler";"[Thunder League] Der Adler";;
"germ_pzkpfw_V_ausf_a_panther/dislike/desc";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[雷霆聯賽] Dislike Team";"[Thunder League] Dislike Team";;
"germ_pzkpfw_V_ausf_a_panther/germ_pzkpfw_V_ausf_a_panther_dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Squadra Dislike";"[Thunder League] Team Dislike
";"[Thunder League] Equipo Dislike";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder liga] Dislike tým";"[Thunder Ligi] Dislike Team";"【雷\t霆\t联\t赛\t】\tDislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder Liga] Dislike Tim";"[Thunder League] Dislike";"[썬더 리그] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"[Thunder League] Dislike Team";"【雷霆聯賽】Dislike Team";"[Thunder League] Dislike Team";;
"germ_pzkpfw_V_ausf_a_panther/germ_pzkpfw_V_ausf_a_panther_verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
"germ_pzkpfw_V_ausf_a_panther/verve/desc";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Team Verve
";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder liga] Verve";"[Thunder Ligi] Verve";"【雷\t霆\t联\t赛\t】\tVerve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder Liga] Verve";"[Thunder League] Verve";"[썬더 리그] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"[Thunder League] Verve";"【雷霆聯賽】Verve";"[Thunder League] Verve";;
