"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"wake_mis2_dlg2_ph03";" Don't let it escape!";" Ne le laissez pas s’échapper !";" Non se lo lasci sfuggire!";" Lassen Sie ihn nicht entkommen!";" ¡No lo deje escapar!";"Не дайте ему уйти!";"Nie dajcie mu uciec!";"Nenechte ho uniknout!";" Kaçmasına izin vemeyelim!";"别\t让\t它\t跑\t了！";"逃がすんじゃないぞ";" Não o deixe escapar!";"Не дайте йому піти!";" Ne dajte im da pobegnu!";"Ne hagyd elmenekülni!";" 빠져나가게 하지마!";"Не дайце яму ўцячы!";" Nu-l lăsați să scape!";"別\t讓\t它\t跑\t了！";"别\t让\t它\t跑\t了！";;
"wake_mis2_dlg2_ph04";" Roger that, sir.";" Bien reçu, chef.";" Ricevuto, signore.";" Roger, Sir!";" Recibido, señor.";"Вас понял, сэр.";"Tak jest.";"Rozumím, pane.";"Anlaşıldı komutanım!";"收\t到，\t长\t官。";"了解しました";" Entendido, Senhor.";"Вас зрозумів, сер.";" Primljeno, gospodine.";"Vettem, uram!";" 알겠습니다.";"Зразумеў, сэр.";" Am înțeles, domnule.";"收\t到，\t長\t官。";"收\t到，\t长\t官。";;
"wake_mis2_dlg3_ph01";" Looks like that's it. You gave them one hell of a beating!";" On dirait que ça suffit. Vous leur avez mis une bonne raclée !";" Questo è tutto. Gliele ha proprio date di santa ragione!";" Sieht so aus, als wär's das gewesen. Sie haben ihm ganz schön eine verpasst!";" Parece que eso es todo. ¡Les ha dado una paliza increíble!";"Похоже, это всё. Здорово вы им всыпали!";"To chyba wszystko. Spuściliście im niezły łomot!";"Vypadá to, že je po všem. Dal jsi jim co proto!";"İşte bu, görünüşe göre onları cehennemin dibine gönderdik!";"看\t样\t子\t差\t不\t多\t了。\t你\t狠\t狠\t地\t教\t训\t了\t他\t们\t一\t顿！";"やったな　\t連中に\t大打撃を\t与えたぞ";" Parece que está tudo. Deste-lhes uma grande surra!";"Схоже, це усе. Здорово ви їм всипали!";" Izgleda da je to to. Dobili su prokleto dobre batine!";"Úgy látszik, vége. Pokoli vereséget szenvedtek!";" 이제 된 것 같군. 너 쟤네들 엄청 두들겨 팼구나!";"Здаецца, усё на гэтым. Някепска мы ім бакі памялі!";" Se pare că asta este. Le-ați dat o bătaie zdravănă!";"看\t樣\t子\t差\t不\t多\t了。\t你\t狠\t狠\t地\t教\t訓\t了\t他\t們\t一\t頓！";"看\t样\t子\t差\t不\t多\t了。\t你\t狠\t狠\t地\t教\t训\t了\t他\t们\t一\t顿！";;
"wake_mis2_dlg3_ph02";" Return to base.";" Retournez à la base";" Torni alla base.";" Kehren Sie zum Stützpunkt zurück.";" Regrese a la base.";"Возвращайтесь.";"Wracamy do bazy.";"Vraťte se na základnu.";" Üsse dönün.";"返\t回\t基\t地。";"帰投せよ";" Retorne para a base.";"Повертайтеся.";" Vratite se u bazu.";"Térj vissza a bázisra.";" 기지로 귀환하겠다.";"Вяртайцеся.";" Întoarceți-vă la bază.";"返\t回\t基\t地。";"返\t回\t基\t地。";;
"wake_mis2_dlg3_ph03";" Yes, sir!";" Oui, chef !";" Sissignore!";" Ja, Sir!";" ¡Sí, señor!";"Так точно!";"Tak jest!";"Ano, pane!";" Emredersiniz komutanım!";"遵\t命，\t长\t官！";"了解！";" Sim, senhor!";"Так точно!";" Da, gospodine!";"Igen, uram!";" 알겠습니다!";"Так!";" Da, domnule!";"遵\t命，\t長\t官！";"遵\t命，\t长\t官！";;
"wake_mis2_dlg3_ph04";" The Japanese won't forget this day!";" Les Japonais se souviendront de ce jour !";" I Giapponesi non si dimenticheranno mai di questo giorno!";" Die Japaner werden diesen Tag nicht vergessen!";" ¡Los japoneses nunca olvidarán este día!";"Думаю, японцы ещё долго будут помнить этот день!";"Japończycy zapamiętają ten dzień!";"Japonci na dnešek nezapomenou!";" Japonlar bugünü unutmayacak!";"日\t本\t人\t不\t会\t忘\t记\t这\t一\t天\t的！";"これで\t相当堪えただろうよ";" Os japoneses não vão esquecer este dia!";"Думаю, японці ще довго пам'ятатимуть цей день!";" Japanci neće zaboraviti ovaj dan!";"Ezt a napot sohasem fogják elfelejteni a japánok!";" 일본놈들 오늘을 못 잊을 거야!";"Японцы мусяць яшчэ доўга помніць гэты дзень!";" Japonezii nu vor uita această zi!";"日\t本\t人\t不\t會\t忘\t記\t這\t一\t天\t的！";" R 国\t人\t不\t会\t忘\t记\t这\t一\t天\t的！";;
"wake_mis2_dlg3_ph05";" Wake won't be an easy prey for them!";" On ne va pas se laisser prendre facilement !";" Wake non sarà una preda facile per loro!";" Wake wird keine leichte Beute für sie sein!";" ¡Wake no será presa fácil para ellos!";"Да, Уэйк так просто им не достанется.";"Wake nie będzie dla nich łatwym celem!";"Wake se pro ně snadnou kořistí nestane!";" Wake onlar için kolay bir av olmayacak!";"想\t拿\t下\t威\t克\t岛？\t没\t那\t么\t容\t易！";"ウェーク\t島のしぶとさを\t見せてやる";" Wake não será uma presa fácil para eles!";"Так, Вейк так просто їм не дістанеться.";" Vejk neće biti lak plen za njih!";"A Wake-sziget nem lesz könnyű préda nekik!";" 웨이크 섬은 놈들의 쉬운 먹잇감이 되지 않을 것이다!";"Так, Уэйк мы ім так лёгка не дастанецца.";" Wake nu va fi o pradă ușoară pentru ei!";"想\t拿\t下\t威\t克\t島？\t沒\t那\t麼\t容\t易！";"想\t拿\t下\t威\t克\t岛？\t没\t那\t么\t容\t易！";;
"wake_mis2_dlg3_ph06";" I can't see Elrod's plane. Where is he?";" Je ne vois pas l'avion d'Elrod. Où est-il ?";" Non riesco a vedere l'aereo di Elrod. Dove si trova?";" Ich kann Elrods Flugzeug nicht sehen. Wo ist er?";" No veo el avión de Elrod. ¿Dónde se encuentra?";"Я не вижу самолёт Элрода. Где он?";"Nie widzę samolotu Elroda. Gdzie on jest?";"Nevidím Elrodovo letadlo. Kde je?";" Elrod'un uçağını göremiyorum. Nerede bu?";"埃\t尔\t罗\t德\t的\t飞\t机\t不\t见\t了。\t他\t在\t哪\t儿？";"エルロッド\t機が\t見えない　\t大尉はどこだ？";" Não consigo ver o avião do Elrod. Onde está ele?";"Я не бачу літак Елрода. Де він?";" Ne mogu da vidim Elrodov avion. Gde je on?";"Nem látom Elrod gépét. Merre van?";" 엘로드의 비행기가 안 보여. 어디 있어?";"Я не бачу самалёт Элрада. Дзе ён?";" Nu văd avionul lui Elrod. Unde este el?";"埃\t爾\t羅\t德\t的\t飛\t機\t不\t見\t了。\t他\t在\t哪\t裡？";"埃\t尔\t罗\t德\t的\t飞\t机\t不\t见\t了。\t他\t在\t哪\t儿？";;
"wake_mis2_dlg3_ph07";" I saw him landing on the shore. Looks like he had been shot down.";" Je l’ai vu atterrir sur la côte. On dirait qu’il a été abattu.";" L'ho visto atterrare sulla costa. Sembra che sia stato abbattuto.";" Ich hab gesehen, wie er am Strand gelandet ist. Scheinbar ist er abgeschossen worden.";" Lo vi aterrizar en la costa. Parecía que lo habían tocado.";"Я видел, как он приземлился на берегу. Кажется, его подбили.";"Widziałem, jak ląduje na brzegu. Chyba go zestrzelili.";"Viděl jsem ho přistávat na břehu. Asi ho sestřelili.";" Onu sahile inerken gördüm. Görünüşe göre vurulmuş.";"我\t看\t到\t他\t在\t海\t岸\t上\t着\t陆\t了\t—\t—\t多\t半\t是\t被\t击\t落\t了。";"海岸にいたぞ　\t被弾したようだ";" Eu vi-o desembarcando na costa. Parece que ele tinha sido abatido.";"Я бачив, як він приземлився на березі. Здається, його підбили.";" Video sam da je sleteo na obalu. Izgleda da je oboren.";"Láttam leszállni a tengerparton. Úgy látszik, lelőtték.";" 엘로드가 해안에 착륙하는 걸 봤어. 격추된 것 같았어.";"Я бачыў, як ён сеў на беразе. Здаецца, яго падбілі.";" L-am văzut aterizând pe țărm. Se pare că a fost doborât.";"我\t看\t到\t他\t在\t海\t岸\t上\t著\t陸\t了\t—\t—\t多\t半\t是\t被\t擊\t落\t了。";"我\t看\t到\t他\t在\t海\t岸\t上\t着\t陆\t了\t—\t—\t多\t半\t是\t被\t击\t落\t了。";;
"wake_mis2_dlg3_ph08";" We've got fewer and fewer planes.";" On a de moins en moins d’avions.";" I nostri aerei diminuiscono a vista d'occhio.";" Uns bleiben immer weniger Flugzeuge.";" Cada vez contamos con menos aviones.";"У нас всё меньше самолётов...";"Mamy coraz mniej samolotów.";"Máme čím dál méně letadel.";"Git gide sayımız azalıyor.";"我\t方\t的\t飞\t机\t越\t来\t越\t少\t了。";"機数がどんどん\t減ってる";" Temos menos e menos aviões.";"У нас усе менше літаків...";" Imamo sve manje i manje aviona.";"Egyre kevesebb és kevesebb gépünk van.";" 아군기가 점점 줄어드는군.";"У нас усё меней самалётаў...";" Avem tot mai puține avioane.";"我\t方\t的\t飛\t機\t越\t來\t越\t少\t了。";"我\t方\t的\t飞\t机\t越\t来\t越\t少\t了。";;
"wake_mis3_dlg1_ph01";" Attention!";" Attention !";" Attenzione!";" Achtung!";" ¡Atención!";"Внимание!";"Uwaga!";"Pozor!";" Dikkat!";"注\t意！";"みんな\t聞け";" Atenção!";"Увага!";" Pažnja!";"Figyelem!";" 주목!";"Увага!";" Atenție!";"注\t意！";"注\t意！";;
"wake_mis3_dlg1_ph02";" Stick to the plan.";" Tenez-vous-en au plan.";" Si attenga al piano.";" Halten Sie sich an den Plan.";" Sigan el plan.";"Действуем согласно плану.";"Trzymać się planu.";"Držte se plánu.";" Plana bağlı kalın.";"按\t原\t计\t划\t行\t事。";"計画通りだ";" Siga o plano.";"Діємо згідно з планом.";" Držite se plana.";"Maradj a tervnél!";" 계획에 집중해.";"Трымаемся плану.";" Rămâneți la plan.";"按\t原\t計\t劃\t行\t事。";"按\t原\t计\t划\t行\t事。";;
"wake_mis3_dlg1_ph03";" Captain Elrod and I meet the first group.";" Le Capitaine Elrod et moi avons rejoint le premier groupe,";" Io e il capitano Elrod incontreremo il primo gruppo.";" Captain Elrod und ich stoßen auf die erste Gruppe,";" El Capitán Elrod y yo nos encontraremos con el primer grupo.";"Мы с капитаном Элродом встречаем первую группу.";" Kapitan Elrod i ja spotykamy się z pierwszą grupą.";"Kapitán Elrod a já se setkáme s první skupinou.";" Yüşbaşı Elrod ve ben ilk grup ile buluşuyoruz.";"我\t和\t埃\t尔\t罗\t德\t上\t尉\t去\t拦\t截\t第\t一\t组\t编\t队。";"エルロッド\t大尉と\t私が\t最初の\tグループ";" O capitão Elrod e eu conhecemos o primeiro grupo.";"Ми з капітаном Елродом зустрічаємо першу групу.";" Kapetan Elrod i ja srećemo prvu grupu,";"Elrod kapitány és én megbeszélést tartunk az első csoporttal,";" 엘로드 대위와 나는 첫 번째 그룹으로 만나고,";"Мы з капітанам Элрадам сустракаем першую групу.";" Căpitanul Elrod și cu mine ne întâlnim cu primul grup.";"我\t和\t埃\t爾\t羅\t德\t上\t尉\t去\t攔\t截\t第\t一\t組\t編\t隊。";"我\t和\t埃\t尔\t罗\t德\t上\t尉\t去\t拦\t截\t第\t一\t组\t编\t队，";;
"wake_mis3_dlg1_ph04";" Lieutenant Davidson meets the second group.";" Lieutenant Davidson le second.";" il tenente Davidson incontrerà il secondo.";" Lieutenant Davidson stößt auf die zweite Gruppe.";" El Teniente Davidson se encontrará con el segundo grupo.";"Лейтенант Дэвидсон – вторую.";"Porucznik Davidson spotyka się z drugą grupą.";"Poručík Davidson se setká s druhou skupinou.";" Teğmen Davidson ikinci grubu karşılıyor.";"戴\t维\t森\t中\t尉\t去\t对\t付\t第\t二\t组。";"デビッドソン\t少尉は\t二つ\t目の\tグループへ";" Tenente Davidson encontrou-se com o segundo grupo.";"Лейтенант Девідсон - другу.";" Poručnik Dejvidson sreće drugu grupu.";"Davidson hadnagy pedig a második csoporttal.";" 데이비슨 중위는 두 번째 그룹으로 만났다.";"Лейтэнант Дэйвідсан — другую.";" Locotenentul Davidson se întâlnește cu al doilea grup.";"大\t衛\t森\t中\t尉\t去\t對\t付\t第\t二\t組。";"戴\t维\t森\t中\t尉\t去\t对\t付\t第\t二\t组。";;
"wake_mis3_dlg1_ph05";" Any questions?";" Des questions ?";" Domande?";" Irgendwelche Fragen?";" ¿Alguna pregunta?";"Вопросы?";"Pytania?";"Nějaké otázky?";" Sorusu olan?";"有\t问\t题\t吗？";"質問はあるか？";" Alguma pergunta?";"Питання?";" Ima li pitanja?";"Van kérdés?";" 질문 있나?";"Пытанні ёсць?";" Alte întrebări?";"有\t問\t題\t嗎？";"有\t问\t题\t吗？";;
"wake_mis3_dlg1_ph06";" No, sir.";" Non, chef !";" Nossignore.";" Nein, Sir.";" No, señor.";"Нет, сэр.";"Nie, sir.";"Ne, pane.";" Yok komutanım.";"没\t有\t了，\t长\t官。";"いいえ";" Não, senhor.";"Ні, сер.";" Ne, gospodine.";"Nincs, uram.";" 없습니다.";"Няма, сэр.";" Nu, domnule.";"沒\t有\t了，\t長\t官。";"没\t有\t了，\t长\t官。";;
"wake_mis3_dlg1_ph07";" Then off we go.";" Alors, c’est parti.";" Allora muoviamoci.";" Dann kann es losgehen.";" Entonces allí vamos.";"Тогда начинаем.";"No to ruszamy.";"Tak tedy vyrazíme.";"O zaman gidiyoruz.";"好\t的，\t立\t刻\t行\t动。";"では\t行こう";" Então vamos lá.";"Тоді починаємо.";" Krenimo onda.";"Akkor hát indulás.";" 그럼 됐고, 가자.";"Тады пачынаем.";" Atunci să plecăm.";"好\t的，\t立\t刻\t行\t動。";"好\t的，\t立\t刻\t行\t动。";;
"wake_mis3_dlg1_ph08";" Good luck, guys.";" Bon courage les gars.";" Buona fortuna, ragazzi!";" Viel Glück, Männer.";" Buena suerte, chicos.";"Удачи, парни.";"Powodzenia, chłopcy.";"Hodně štěstí, chlapi.";"İyi şanslar beyler.";"兄\t弟\t们，\t祝\t你\t们\t好\t运。";"健闘を\t祈る";" Boa sorte pessoal.";"Удачі, хлопці.";" Srećno momci.";"Sok szerencsét, fiúk.";" 건투를 빈다.";"Поспехаў, хлопцы.";" Noroc băieți.";"兄\t弟\t們，\t祝\t你\t們\t好\t運。";"兄\t弟\t们，\t祝\t你\t们\t好\t运。";;
"wake_mis3_dlg2_ph01";" We're running low on fuel.";" On va bientôt manquer de carburant.";" Stiamo per finire il combustibile.";" Uns geht der Sprit aus.";" Nos estamos quedando sin combustible.";"Топливо на исходе.";"Kończy nam się paliwo. Pora zawracać.";"Dochází nám palivo.";" Yakıtımız azalıyor.";"我\t们\t的\t燃\t油\t快\t耗\t尽\t了。";"燃料が\t残り\t少ない";" Estamos com pouco combustível.";"Паливо закінчується.";" Ponestaje nam goriva.";"Kifogyunk az üzemanyagból.";" 연료가 얼마 남지 않았다.";"Паліва канчаецца.";" Rămânem fără combustibil.";"我\t們\t的\t燃\t油\t快\t耗\t盡\t了。";"我\t们\t的\t燃\t油\t快\t耗\t尽\t了。";;
"wake_mis3_dlg2_ph02";" Let's head back.";" Faisons demi-tour.";" Torniamo indietro.";" Lasst uns umkehren.";" Regresemos.";"Возвращаемся.";"Wracajmy.";"Musíme se vrátit.";" Geri dönelim.";"返\t航\t吧。";"戻ろう";" Vamos voltar.";"Повертаємося.";" Krenimo nazad.";"Menjünk vissza.";" 자, 돌아가자.";"Вяртаемся назад.";" Să ne întoarcem.";"返\t航\t吧。";"返\t航\t吧。";;
"wake_mis3_dlg2_ph03";" We've had one hell of a day.";" C’était une sacrée journée.";" Che giornata fantastica.";" Das war ein richtiger Höllentag.";" Ha sido un día muy complicado.";"Непростой сегодня денёк выдался...";"Co to był za dzień.";"Dnešek teda stál za to.";" Cehennem gibi bir gün yaşadık.";"这\t一\t天\t已\t经\t够\t不\t容\t易\t的\t了。";"大変な\t一日だったな";" Tivemos um dia infernal.";"Непроста сьогодні днинка видалася...";" Imali smo pakleni dan.";"Pokoli napunk volt.";" 오늘은 지옥같은 하루였어.";"Няпросты сёння быў дзень...";" Am avut o zi dată naibii.";"這\t一\t天\t已\t經\t夠\t不\t容\t易\t的\t了。";"这\t一\t天\t已\t经\t够\t不\t容\t易\t的\t了。";;
