"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"matching/SERVER_ERROR_PLAYER_BANNED";"Your account has been blocked.";"Votre compte a été bloqué.";"Il gioco non è stato attivato per il tuo account.";"Dein Konto wurde gesperrt.";"El juego no ha sido activado para su cuenta.";"Ваша учётная запись заблокирована.";"Twoje konto zostało zablokowane.";"Tvůj účet byl zablokován";"Oyun hesabınız engellendi.";"账\t户\t被\t锁\t定\t。";"あなたの\tアカウントで\tゲームが\tアクティベートされていません。";"A sua conta foi bloqueada.";"Your account has been blocked.";"Ваш обліковий запис заблокований.";"Vaš nalog je blokiran.";"A felhasználói fiókod zárolásra került.";"귀하의 계정이 차단 되었습니다.";"Ваш акаўнт быў заблакіраваны.";"Acest cont a fost blocat.";"你的帳號已經被凍結";"账\t户\t被\t锁\t定\t。";;
"matching/SERVER_ERROR_BAD_REQUEST";"Request error.";"Demande erronée.";"Errore richiesta.";"Anfragefehler.";"Error en la solicitud.";"Ошибка выполнения запроса.";"Błąd polecenia.";"Chyba požadavku";"İstek hatası.";"错\t误\t的\t请\t求";"リクエストエラー。";"Erro de pedido.";"Request error.";"Помилка виконання запиту.";"Greška prilikom zahteva.";"Adatlekérési hiba.";"요청 오류";"Памылковы запыт.";"Eroare solicitare.";"請求錯誤";"错\t误\t的\t请\t求";;
"matching/SERVER_ERROR_ROOM_NOT_FOUND";"Session not found.";"Session introuvable.";"Sessione non trovata.";"Spielsitzung nicht gefunden.";"No se encuentra la sesión.";"Сессия не найдена.";"Nie odnaleziono pokoju.";"Střetnutí nenalezeno";"Oturum bulunamadı.";"找\t不\t到\t该\t游\t戏";"セッションが\t見つかりませんでした。";"Sala não encontrada.";"Session not found.";"Кімната не знайдена.";"Soba nije nađena.";"A szoba nem található.";"세션을 찾을 수 없습니다.";"Сеанс не знойдзены.";"Sesiunea nu a fost găsită.";"找不到頻道";"找\t不\t到\t该\t游\t戏";;
"matching/SERVER_ERROR_ROOM_OPERATION_DENIED";"Operation denied.";"Opération refusée.";"Operazione negata.";"Vorgang verweigert.";"Operación denegada.";"Недостаточно прав.";"Operacja anulowana.";"Přístup odepřen";"İşlem reddedildi.";"操\t作\t无\t效";"操作が\t拒否されました。";"Operação negada.";"Operation denied.";"Недостатньо прав.";"Operacija je odbijena.";"A művelet megtagadva.";"작업이 거부되었습니다.";"Недастаткова правоў.";"Operația a fost respinsă.";"操作被拒絕";"操\t作\t无\t效";;
"matching/SERVER_ERROR_ROOM_MAX_OPS";"Maximum number of room operators reached.";"Nombre maximum d'opérateurs de salle atteint.";"Numero massimo di giocatori della sessione raggiunto.";"Maximale Anzahl der Kanal-Operatoren erreicht.";"Alcanzado el número máximo de los operadores de la sala.";"Лимит количества операторов превышен.";"Osiągnięto maksymalną liczbę operatorów pokoi.";"Dosažen maximální počet operátorů v místnosti";"Maksimum oda kullanıcı sayısına ulaşıldı.";"已\t达\t频\t道\t管\t理\t员\t人\t数\t上\t限";"ルームオペレーターの\t最大数に\t到達しました。";"Atingido o número máximo de operadores na sala.";"Maximum number of room operators reached.";"Ліміт кількості операторів перевищений.";"Dostignut je maksimalan broj operatera u sobi.";"A szobában nem lehet több operátor.";"방의 최대 인원수에 도달했습니다.";"Дасягнута максімальная колькасці аператараў.";"S-a atins numărul maxim de operatori.";"已經達到最大房間人數";"已\t达\t频\t道\t管\t理\t员\t人\t数\t上\t限";;
"matching/SERVER_ERROR_ROOM_PASSWORD_MISMATCH";"Password mismatch.";"Mot de passe erroné.";"La password non corrisponde.";"Passwort stimmt nicht überein.";"Las contraseñas no coinciden.";"Неверный пароль.";"Nieprawidłowe hasło.";"Heslo neodpovídá";"Parolalar uyuşmuyor.";"密\t码\t不\t符";"パスワードが\t一致しません。";"Senha incompatível.";"Password mismatch.";"Невірний пароль.";"Šifre se ne slažu.";"Nem egyezik a jelszó.";"비밀번호가 맞지 않습니다.";"Памылковы пароль.";"Nepotrivire parolă.";"密碼不符合";"密\t码\t不\t符";;
"matching/SERVER_ERROR_ROOM_FULL";"The session is full.";"La session est complète.";"La sessione è piena.";"Die Spielsitzung ist voll.";"La sesión está llena.";"Сессия заполнена.";"Pokój jest pełny.";"Střetnutí je plné";"Oturum dolu.";"游\t戏\t已\t满";"セッションは\t満員です。";"Sala está cheia.";"The session is full.";"Кімната заповнена.";"Soba je puna.";"A szoba megtelt.";"세션이 꽉 찼습니다.";"Сеанс запоўнены.";"Sesiunea este plină.";"頻道已滿";"游\t戏\t已\t满";;
"matching/SERVER_ERROR_ROOM_INVALID_SIZE";"Wrong session size.";"Taille de session incorrecte.";"Dimensioni della sessione sbagliata.";"Falsche Spielsitzungsgröße.";"Tamaño equivocado de la sesión.";"Размер сессии задан неверно.";"Zła wielkość pokoju.";"Špatná velikost střetnutí";"Yanlış oturum boyutu.";"人\t数\t设\t定\t有\t误";"セッションサイズが\t正しくありません。";"Tamanho da sala inválido.";"Wrong session size.";"Розмір сесії заданий невірно.";"Pogrešna veličina sobe.";"Hibás a szoba mérete.";"세션 크기가 잘못되었습니다.";"Памылковы памер сеанса.";"Dimensiune greșită sesiune.";"頻道人數錯誤";"人\t数\t设\t定\t有\t误";;
"matching/SERVER_ERROR_ROOM_BANNED";"You are banned in this session.";"Vous êtes banni de cette session.";"Sei stato espulso da questa sessione.";"Du wurdest von dieser Spielsitzung verbannt.";"Usted esta baneado en esta sesión.";"Вы в чёрном списке этой сессии.";"Zakazano Ci wstępu do tego pokoju.";"Do tohoto střetnutí máš zakázaný vstup";"Bu oturumdan atıldınız.";"已\t被\t禁\t止\t加\t入\t该\t游\t戏";"あなたはこの\tセッションから\tBANされました。";"Estas banido desta sala.";"You are banned in this session.";"Ви в чорному списку цієї сесії.";"Zabranjeni ste u ovoj sobi.";"Kitiltottak a szobából.";"세션에서 강퇴당했습니다.";"Вас забанілі ў гэтым сеансе.";"Ești interzis în această sesiune.";"你已經被這個頻道封鎖";"已\t被\t禁\t止\t加\t入\t该\t游\t戏";;
"matching/SERVER_ERROR_ROOM_NOT_BANNED";"The player is not banned.";"Le joueur n'est pas banni.";"Il giocatore non è espulso.";"Der Spieler ist nicht verbannt.";"El jugador no está baneado.";"Игрок не находится в чёрном списке.";"Gracz nie jest zablokowany.";"Hráč nemá zákaz vstupu";"Oyuncu yasaklı değil.";"该\t玩\t家\t未\t被\t加\t入\t频\t道\t黑\t名\t单";"この\tプレイヤーは\tBANされていません。";"Jogador não está banido.";"The player is not banned.";"Гравець не знаходиться в чорному списку.";"Igrač nije zabranjen.";"A játékos nincs kitiltva.";"플레이어가 차단되지 않았습니다.";"Гулец не забанены.";"Jucătorul nu este interzis.";"玩家沒有被封鎖";"该\t玩\t家\t未\t被\t加\t入\t频\t道\t黑\t名\t单";;
"matching/SERVER_ERROR_ROOM_BLACKLIST_FULL";"Failed to add the player to the room blocklist.";"Impossible d'ajouter le joueur à la liste noire du salon.";"Impossibile aggiungere il giocatore alla blacklist della stanza.";"Fehler beim Hinzufügen des Spielers auf die Blockierliste des Kanals.";"Error al agregar al jugador a la lista negra de la sala.";"Невозможно добавить игрока в список заблокированных.";"Nie powiodło się dodanie gracza na czarną listę.";"Nepodařilo se přidat hráče na černou listinu místnosti";"Oyuncuyu kara listeye ekleme başarısız.";"无\t法\t将\t该\t玩\t家\t添\t加\t至\t频\t道\t黑\t名\t单";"プレイヤーを\tルームの\tブラックリストに\t追加できませんでした。";"Falha ao adicionar jogador na lista negra.";"Failed to add the player to the room blocklist.";"Неможливо додати гравця в чорний список.";"Neuspešno dodavanje igrača na crnu listu sobe.";"A játékos hozzáadása a szoba tiltólistájához sikertelen.";"플레이어를 차단목록에 추가하지 못했습니다.";"Не ўдалося дадаць гульца ў чорны спіс.";"Eșuare adăugare jucător în lista neagră a canalului.";"無法將玩家加入房間封鎖名單中";"无\t法\t将\t该\t玩\t家\t添\t至\t黑\t名\t单\t中";;
"matching/SERVER_ERROR_ROOM_ACCESS_DENIED";"You are not a member of the playroom.";"Vous n'êtes pas un membre de ce salon en jeu.";"Non sei un mebro della sala giochi.";"Du bist kein Teilnehmer dieser Spielsitzung.";"No eres miembro de la sala de juegos.";"Вы не находитесь в списке участников игрового лобби.";"Nie jesteś członkiem pokoju.";"Nejsi členem herny";"Oyun odasının bir üyesi değilsiniz.";"无\t法\t加\t入\t该\t房\t间\t。";"プレイルームの\tメンバーではありません。";"Você não é um membro da sala de jogo.";"You are not a member of the playroom.";"Ви не є членом цієї ігрової кімнати.";"Niste član igračke sobe.";"Nem vagy szoba tagja.";"전투방에 속해 있지 않습니다.";"Вы не з'яўляецеся ўдзельнікам перадбаявой чакальні.";"Nu ești membru al canalului.";"你不是這個房間的成員";"无\t法\t加\t入\t该\t房\t间\t。";;
"matching/SERVER_ERROR_ALREADY_IN_ROOM";"You are already in the session.";"Vous êtes déjà dans la salle.";"Sei già nella sessione.";"Du befindest dich bereits in dieser Spielsitzung.";"Usted ya está en la sesión.";"Вы уже в сессии.";"Jesteś już w pokoju.";"Už jsi ve střetnutí";"Zaten bir oturumdasınız.";"已\t在\t该\t游\t戏\t中\t。";"あなたはすでに\tセッションに\t入っています。";"Já estas dentro da sala";"You are already in the session.";"Ви вже в сесії.";"Već ste u sobi.";"Már a szobában vagy.";"이미 세션에 들어와 있습니다.";"Вы ўжо ў сеансе.";"Deja ești în sesiune.";"你已經在這個頻道內了";"已\t在\t该\t游\t戏\t中\t。";;
"matching/SERVER_ERROR_ALREADY_LOGGED";"You are already logged in from another device. If this wasn't you, please contact our support team.";"Vous vous êtes déjà connecté depuis un autre périphérique ou ordinateur. Si ce n'est pas vous, veuillez contacter notre équipe d'assistance.";"Sei già loggato da un'altro dispositivo. Se non sei stato tu, si prega di contattare il nostro team di supporto.";"Du bist bereits über ein anderes  Gerät verbunden. Sollte es sich dabei nicht um dich handeln, wende dich bitte an den Kundendienst.";"Usted ya han iniciado sesión desde otro dispositivo. Si no ha sido usted, póngase en contacto con nuestro equipo de soporte.";"Был осуществлён вход в ваш аккаунт с другого устройства. Если это были не Вы, обратитесь в службу поддержки.";"Zalogowałeś się już z innego urządzenia. Jeśli nie byłeś to Ty, to prosimy o kontakt z naszym działem wsparcia.";"Už jsi přihlášen z jiného zařízení. Pokud to nejsi ty, kontaktuj prosím naši zákaznickou podporu.";"Daha önce başka bir aygıttan giriş yaptınız. Eğer bu kişi siz değilseniz, lütfen destek ekibimizle iletişime geçin.";"该\t账\t号\t已\t通\t过\t另\t一\t台\t设\t备\t登\t陆\t。\t若\t担\t心\t账\t号\t安\t全\t问\t题\t，\t请\t联\t系\t客\t服\t团\t队\t。";"すでに\t別の\tデバイス\t上で\tログイン\t中です。\tこれがあなたでは\t無い\t場合は、\t当社\tサポートチームまでご\t連絡ください。";"Já entrou no jogo a partir de outro aparelho. Se não foi você, por favor, entre em contacto com nossa equipa de suporte.";"You are already logged in from another device. If this wasn't you, please contact our support team.";"Був здійснений вхід в ваш акаунт з іншого пристрою. Якщо це були не ви, зверніться в службу підтримки.";"Već ste prijavljeni sa drugog uređaja. Ako to niste vi, kontaktirajte našu podršku.";"Már be vagy jelentkezve egy másik eszközről. Ha nem te vagy az, kérlek, lépj kapcsolatba az ügyfélszolgálattal.";"이미 다른 장치에서 로그인했습니다. 다른 사람이 접속한 것 같다면 지원팀에 문의하시기 바랍니다.";"Вы ўжо ўвайшлі ў гульню з іншай прылады. Калі гэта былі не вы, звярніцеся ў службу падтрымкі.";"Te-ai conectat deja de pe un alt dispozitiv. Dacă nu ai fost tu, contactează echipa noastră de asistență.";"你已經透過另一台設備登入，如果這不是你，請聯繫我們的支援團隊";"该\t账\t号\t已\t通\t过\t另\t一\t台\t设\t备\t登\t陆\t。\t若\t担\t心\t账\t号\t安\t全\t问\t题\t，\t请\t联\t系\t客\t服\t团\t队\t。";;
"matching/SERVER_ERROR_MEMBER_NOT_FOUND";"Player not found.";"Joueur introuvable.";"Giocatore non trovato.";"Spieler nicht gefunden.";"Jugador no encontrado.";"Игрок не найден.";"Nie odnaleziono gracza.";"Hráč nenalezen";"Oyuncu bulunamadı.";"找\t不\t到\t该\t玩\t家\t。";"プレイヤーが\t見つかりませんでした。";"Jogador não encontrado.";"Player not found.";"Гравець не знайдений.";"Igrač nije nađen.";"A játékos nem található.";"플레이어를 찾을 수 없습니다.";"Гулец не знойдзены.";"Jucătorul nu a fost găsit.";"找不到玩家";"找\t不\t到\t该\t玩\t家\t。";;
"matching/SERVER_ERROR_REQUEST_REJECTED";"This operation rejected by the server.";"L'opération est rejetée par le serveur.";"Operazione rifiutata dal server.";"Vorgang vom Server zurückgewiesen.";"La operación ha sido rechazada por el servidor.";"Операция отклонена сервером.";"Operacja odrzucona przez serwer.";"Operace odmítnuta serverem";"İşlem, sunucu tarafından reddedildi.";"服\t务\t器\t拒\t绝\t执\t行\t该\t操\t作\t。";"操作は\tサーバーにより\t拒否されました。";"Operação rejeitada pelo servidor";"This operation rejected by the server.";"Операція відхилена сервером.";"Operacija je odbijena od strane servera.";"A szerver visszautasította a műveletet.";"작업이 서버에 의해 거부되었습니다.";"Аперацыя адхілена серверам.";"Operația a fost respinsă de către server.";"伺服器拒絕執行該操作";"服\t务\t器\t拒\t绝\t执\t行\t该\t操\t作\t。";;
"matching/SERVER_ERROR_ALREADY_IN_QUEUE";"You are already in the queue.";"Vous êtes déjà dans la file d'attente.";"Sei già in coda.";"Du bist bereits in der Warteschlange.";"Usted ya está en la cola.";"Вы уже в очереди.";"Jesteś już w kolejce.";"Už jsi ve frontě";"Zaten sıradasınız.";"已\t在\t队\t列\t中\t。";"すでに\tキューに\t入っています。";"Já estas na fila.";"You are already in the queue.";"Ви вже в черзі.";"Već ste u redu za čekanje.";"Már a várólistán vagy.";"이미 대기 중입니다.";"Вы ўжо ў чарзе.";"Ești deja în coada de așteptare.";"你已經在排隊序列中";"已\t在\t队\t列\t中\t。";;
"matching/SERVER_ERROR_NOT_IN_QUEUE";"You are not in the queue.";"Vous n'êtes pas dans la file d'attente.";"Non sei in coda.";"Du bist nicht in der Warteschlange.";"Usted no está en la cola.";"Вы не в очереди.";"Nie jesteś w kolejce.";"Nejsi ve frontě";"Sırada değilsiniz.";"尚\t未\t加\t入\t队\t列\t。";"あなたは\tキューに\t入っていません。";"Não estas na fila";"You are not in the queue.";"Ви не в черзі.";"Niste u redu za čekanje.";"Nem vagy a várólistán.";"대기열에 들어 있지 않습니다.";"Вы не ў чарзе.";"Nu ești în coada de așteptare.";"你沒有在排隊序列中";"尚\t未\t加\t入\t队\t列\t。";;
"matching/SERVER_ERROR_MODE_CHANGED";"Game mode was changed.";"Le mode de jeu a été changé.";"La modalità di gioco è stata cambiata.";"Spielmodus wurde geändert.";"Se ha cambiado el modo de juego.";"Параметры игрового режима были изменены.";"Zmieniono tryb gry.";"Herní mód byl změněn";"Oyun modu değiştirildi.";"游\t戏\t模\t式\t已\t改\t变\t。";"ゲームモードが\t変更されました。";"Modo de jogo foi alterado.";"Game mode was changed.";"Параметри ігрового режиму були змінені.";"Režim igre je promenjen.";"Játékmód megváltoztatva.";"게임 모드가 변경되었습니다.";"Рэжым гульні быў зменены.";"Modul de joc a fost schimbat.";"遊戲模式已經變更";"游\t戏\t模\t式\t已\t改\t变\t。";;
"matching/SERVER_ERROR_NOT_IN_ROOM";"Player not in the session.";"Le joueur n'est pas dans la session.";"Giocatore non nella sessione.";"Spieler ist nicht in der Spielsitzung.";"El jugador no está en la sesión.";"Игрок не найден в игровой сессии.";"Gracz nie jest w sesji rozgrywki.";"Hráč není ve střetnutí";"Oyuncu, oturumda değil.";"玩\t家\t不\t在\t该\t游\t戏\t中\t。";"プレイヤーは\tセッションに\t入っていません。";"Jogador não está na sala.";"Player not in the session.";"Гравець не знайдений в ігровій сесії.";"Igrač nije u partiji.";"A játékos nincs a szobában.";"세션에 없는 플레이어입니다.";"Гулец не знойдзены ў сеансе гульні.";"Jucătorul nu este în sesiune.";"玩家不在頻道中";"玩\t家\t不\t在\t该\t游\t戏\t中\t。";;
