"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"ships/germ_dd_z28_searchlight_top_0";"Destroyer";"Destroyer";"Z-28";"Zerstörer";"Destructor";"Эсминец";"Niszczyciel";"Zerstörer 1936A Z 28";"Muhrip";"【\t驱\t逐\t舰\t】\tZ 28";"軍事工場攻撃";"Contratorpedeiro";"Destroyer";"Есмінець";"Razarač";"romboló";"구축함";"Эсмінец";"Z-28";"驅逐艦";"【\t驱\t逐\t舰\t】";;
"ships/germ_dd_z28_searchlight_top_1";"Destroyer";"Destroyer";"Cacciatorpediniere Tedesco";"Zerstörer";"Destructor";"Эсминец";"Niszczyciel";"Zerstörer 1936A";"Muhrip";"【\t驱\t逐\t舰\t】\tZ 28";"駆逐艦";"Contratorpedeiro";"Destroyer";"Есмінець";"Razarač";"romboló";"구축함";"Эсмінец";"Distrugător german";"驅逐艦";"【\t驱\t逐\t舰\t】";;
"ships/germ_dd_z28_searchlight_top_2";"Destroyer";"Destroyer";"Cacciatorpediniere";"Zerstörer";"Destructor";"Эсминец";"Niszczyciel";"Zerstörer 1936A";"Muhrip";"驱\t逐\t舰";"駆逐艦";"Contratorpedeiro";"Destroyer";"Есмінець";"Razarač";"romboló";"구축함";"Эсмінец";"Distrugător";"驅逐艦";"【\t驱\t逐\t舰\t】";;
"wheeled_vehicles/truck_arcade_0";"Cargo truck";"Camion d'approvisionnement";"Autocarro da trasporto";"Lastwagen";"Camión de carga";"Грузовой автомобиль";"Ciężarówka";"ZIS-5 gruzovoj";"Kargo kamyonu";"货\t车";"貨物\tトラック";"Camião de carga";"Cargo truck";"Вантажний автомобіль";"Teretni kamion";"teherautó";"화물 트럭";"Грузавік";"Camion de trasport";"貨車";"货\t车";;
"wheeled_vehicles/truck_arcade_1";"Truck";"Camion";"Autocarro";"Laster";"Camión de carga";"Автомобиль";"Ciężarówka";"ZIS-5 nákladní";"Kamyon";"货\t车";"貨物\tトラック";"Caminhão";"Truck";"Автомобіль";"Kamion";"teherautó";"트럭";"Аўтамабіль";"Camion";"貨車";"货\t车";;
"wheeled_vehicles/truck_arcade_2";"Truck";"Camion";"Autocarro";"Laster";"Camión de carga";"Автомобиль";"Ciężarówka";"ZIS-5";"Kamyon";"货\t车";"貨物\tトラック";"Caminhão";"Truck";"Автомобіль";"Kamion";"teherautó";"트럭";"Аўтамабіль";"Camion";"貨車";"货\t车";;
"ships/cargo_ship_arcade_0";"Cargo ship";"Cargo";"Nave da trasporto";"Frachtschiff";"Buque de carga";"Грузовой корабль";"Transportowiec";"nákladní loď";"Kargo gemisi";"货\t船";"貨物船";"Navio logístico";"Cargo ship";"Вантажне судно";"Teretni brod";"teherhajó";"수송선";"Грузавы карабель";"Cargou";"貨船";"货\t船";;
"ships/cargo_ship_arcade_1";"Cargo ship";"Cargo";"Nave da trasporto";"Frachtschiff";"Buque de carga";"Грузовой корабль";"Transportowiec";"nákladní loď";"Kargo gemisi";"货\t船";"貨物船";"Navio logístico";"Cargo ship";"Вантажне судно";"Teretni brod";"teherhajó";"수송선";"Грузавы карабель";"Cargou";"貨船";"货\t船";;
"ships/cargo_ship_arcade_2";"Ship";"Bateau";"Nave";"Schiff";"Buque de carga";"Корабль";"Transportowiec";"nákladní loď";"Gemi";"货\t船";"貨物船";"Navio";"Ship";"Корабель";"Brod";"teherhajó";"선박";"Карабель";"Navă";"貨船";"货\t船";;
"structures/dummy_arcade_0";"Base building";"Bâtiment";"Edificio";"Basisgebäude";"Edificio de la base";"Здание базы";"Budynek bazy";"budova základny";"Üs binası";"基\t地\t建\t筑";"基地建物";"Edifício";"Base building";"Будівля бази";"Zgrada baze";"bázisépület";"기지 건물";"Будынак базы";"Clădire bază";"基地建築";"基\t地\t建\t筑";;
"structures/dummy_arcade_1";"Base building";"Bâtiment";"Edificio";"Basisgebäude";"Edificio de la base";"Здание базы";"Budynek bazy";"budova základny";"Üs binası";"基\t地\t建\t筑";"基地建物";"Edifício";"Base building";"Будівля бази";"Zgrada baze";"bázisépület";"기지 건물";"Будынак базы";"Clădire bază";"基地建築";"基\t地\t建\t筑";;
"structures/dummy_arcade_2";"Base building";"Bâtiment";"Edificio";"Basisgebäude";"Edificio de la base";"Здание базы";"Budynek bazy";"budova základny";"Üs binası";"基\t地\t建\t筑";"基地建物";"Edifício";"Base building";"Будівля бази";"Zgrada baze";"bázisépület";"기지 건물";"Будынак базы";"Clădire bază";"基地建築";"基\t地\t建\t筑";;
"structures/dummy_airfield_0";"Airfield";"Aérodrome";"Aereoporto";"Flugplatz";"Aeródromo";"Аэродром";"Lotnisko";"letiště";"Havaalanı";"机\t场";"飛行場";"Aeródromo";"Airfield";"Аеродром";"Aerodrom";"repülőtér";"비행장";"Аэрадром";"Aerodrom";"機場";"机\t场";;
"structures/dummy_airfield_1";"Airfield";"Aérodrome";"Aereoporto";"Flugplatz";"Aeródromo";"Аэродром";"Lotnisko";"letiště";"Havaalanı";"机\t场";"飛行場";"Aeródromo";"Airfield";"Аеродром";"Aerodrom";"repülőtér";"비행장";"Аэрадром";"Aerodrom";"機場";"机\t场";;
"structures/dummy_airfield_2";"Airfield";"Aérodrome";"Aereoporto";"Flugplatz";"Aeródromo";"Аэродром";"Lotnisko";"letiště";"Havaalanı";"机\t场";"飛行場";"Aeródromo";"Airfield";"Аеродром";"Aerodrom";"repülőtér";"비행장";"Аэрадром";"Aerodrom";"機場";"机\t场";;
"structures/flag_victory_0";"Flag";"Drapeau";"Bandiera";"Flagge";"Bandera";"Флаг";"Flaga";"vlajka";"Bayrak";"旗\t帜";"Flag";"Bandeira";"Flag";"Прапор";"Flag";"zászló";"깃발";"Сцяг";"Steag";"旗帜";"旗\t帜";;
"structures/flag_victory_1";"Flag";"Drapeau";"Bandiera";"Flagge";"Bandera";"Флаг";"Flaga";"vlajka";"Bayrak";"旗\t帜";"Flag";"Bandeira";"Flag";"Прапор";"Flag";"zászló";"깃발";"Сцяг";"Steag";"旗帜";"旗\t帜";;
"structures/flag_victory_2";"Flag";"Drapeau";"Bandiera";"Flagge";"Bandera";"Флаг";"Flaga";"vlajka";"Bayrak";"旗\t帜";"Flag";"Bandeira";"Flag";"Прапор";"Flag";"zászló";"깃발";"Сцяг";"Steag";"旗帜";"旗\t帜";;
"structures/dummy_airfield_5k_0";"Airfield";"Aérodrome";"Aereoporto";"Flugplatz";"Aeródromo";"Аэродром";"Lotnisko";"letiště";"Havaalanı";"机\t场";"飛行場";"Aeródromo";"Airfield";"Аеродром";"Aerodrom";"repülőtér";"비행장";"Аэрадром";"Aerodrom";"機場";"机\t场";;
"structures/dummy_airfield_5k_1";"Airfield";"Aérodrome";"Aereoporto";"Flugplatz";"Aeródromo";"Аэродром";"Lotnisko";"letiště";"Havaalanı";"机\t场";"飛行場";"Aeródromo";"Airfield";"Аеродром";"Aerodrom";"repülőtér";"비행장";"Аэрадром";"Aerodrom";"機場";"机\t场";;
"structures/dummy_airfield_5k_2";"Airfield";"Aérodrome";"Aereoporto";"Flugplatz";"Aeródromo";"Аэродром";"Lotnisko";"letiště";"Havaalanı";"机\t场";"飛行場";"Aeródromo";"Airfield";"Аеродром";"Aerodrom";"repülőtér";"비행장";"Аэрадром";"Aerodrom";"機場";"机\t场";;
"structures/dummy_bombtarget_0";"Bombing point";"Point de bombardement";"Punto di bombardamento";"Bombenabwurfstelle";"Punto de bombardeo";"Цель для бомбардировки";"Punkt bombardowania";"bombardovací cíl";"Bombalama noktası";"轰\t炸\t点";"爆撃地点";"Ponto de bombardeamento";"Bombing point";"Ціль для бомбардування";"Meta za bombardovanje";"bombázási pont";"폭격 지점";"Цэль бамбардзіроўкі";"Punct de bombardare";"轟炸點";"轰\t炸\t点";;
"structures/dummy_bombtarget_1";"Bombing point";"Point de bombardement";"Punto di bombardamento";"Bombenabwurfstelle";"Punto de bombardeo";"Цель для бомбардировки";"Punkt bombardowania";"bombardovací cíl";"Bombalama noktası";"轰\t炸\t点";"爆撃地点";"Ponto de bombardeamento";"Bombing point";"Ціль для бомбардування";"Meta za bombardovanje";"bombázási pont";"폭격 지점";"Цэль бамбардзіроўкі";"Punct de bombardare";"轟炸點";"轰\t炸\t点";;
"structures/dummy_bombtarget_2";"Bombing point";"Point de bombardement";"Punto di bombardamento";"Bombenabwurfstelle";"Punto de bombardeo";"Цель для бомбардировки";"Punkt bombardowania";"bombardovací cíl";"Bombalama noktası";"轰\t炸\t点";"爆撃地点";"Ponto de bombardeamento";"Bombing point";"Ціль для бомбардування";"Meta za bombardovanje";"bombázási pont";"폭격 지점";"Цэль бамбардзіроўкі";"Punct de bombardare";"轟炸點";"轰\t炸\t点";;
"structures/dummy_bombtarget_airfield_0";"Runway";"Piste";"Pista";"Rollbahn";"Pista";"ВПП";"Pas startowy";"dráha";"Pist";"跑\t道";"滑走路";"Pista";"Runway";"ЗПС";"Pista";"kifutópálya";"활주로";"УПП";"Pistă";"跑道";"跑\t道";;
"structures/dummy_bombtarget_airfield_1";"Runway";"Piste";"Pista";"Rollbahn";"Pista";"ВПП";"Pas startowy";"dráha";"Pist";"跑\t道";"滑走路";"Pista";"Runway";"ЗПС";"Pista";"kifutópálya";"활주로";"УПП";"Pistă";"跑道";"跑\t道";;
"structures/dummy_bombtarget_airfield_2";"Runway";"Piste";"Pista";"Rollbahn";"Pista";"ВПП";"Pas startowy";"dráha";"Pist";"跑\t道";"滑走路";"Pista";"Runway";"ЗПС";"Pista";"kifutópálya";"활주로";"УПП";"Pistă";"跑道";"跑\t道";;
"structures/tank_target_10a_char_0";"Target №10a";"Cible №10a";"Bersaglio №10а";"Ziel #10a";"Blanco Nº10a";"Мишень №10а";"Cel №10а";"cíl č.10a";"Hedef №10a";"目\t标\t 10\tа";"Target №10a";"Alvo Nº10";"Target №10a";"Мішень №10а";"Target №10a";"célpont #10a";"10a번 표적";"Мішэнь №10а";"Ținta nr. 10a";"目标 №10а";"目\t标\t \t№\t10\tа";;
"structures/tank_target_10a_char_1";"Target №10a";"Cible №10a";"Bersaglio №10а";"Ziel #10a";"Blanco Nº10a";"Мишень №10а";"Cel №10а";"cíl č.10a";"Hedef №10a";"目\t标\t 10\tа";"Target №10a";"Alvo Nº10";"Target №10a";"Мішень №10а";"Target №10a";"célpont #10a";"10a번 표적";"Мішэнь №10а";"Ținta nr. 10a";"目标 №10а";"目\t标\t \t№\t10\tа";;
"structures/tank_target_10a_char_2";"Target №10a";"Cible №10a";"Bersaglio №10а";"Ziel #10a";"Blanco Nº10a";"Мишень №10а";"Cel №10а";"cíl č.10a";"Hedef №10a";"目\t标\t 10\tа";"Target №10a";"Alvo Nº10";"Target №10a";"Мішень №10а";"Target №10a";"célpont #10a";"10a번 표적";"Мішэнь №10а";"Ținta nr. 10a";"目标 №10а";"目\t标\t \t№\t10\tа";;
"structures/tank_target_12_char_0";"Target №12";"Cible №12";"Bersaglio №12";"Ziel #12";"Blanco Nº 12";"Мишень №12";"Cel №12";"cíl č.12";"Hedef №12";"目\t标\t 12";"Target №12";"Alvo Nº12";"Target №12";"Мішень №12";"Target №12";"célpont #12";"12번 표적";"Мішэнь №12";"Ținta nr. 12";"目标 №12";"目\t标\t \t№\t12";;
"structures/tank_target_12_char_1";"Target №12";"Cible №12";"Bersaglio №12";"Ziel #12";"Blanco Nº 12";"Мишень №12";"Cel №12";"cíl č.12";"Hedef №12";"目\t标\t 12";"Target №12";"Alvo Nº12";"Target №12";"Мішень №12";"Target №12";"célpont #12";"12번 표적";"Мішэнь №12";"Ținta nr. 12";"目标 №12";"目\t标\t \t№\t12";;
"structures/tank_target_12_char_2";"Target №12";"Cible №12";"Bersaglio №12";"Ziel #12";"Blanco Nº 12";"Мишень №12";"Cel №12";"cíl č.12";"Hedef №12";"目\t标\t 12";"Target №12";"Alvo Nº12";"Target №12";"Мішень №12";"Target №12";"célpont #12";"12번 표적";"Мішэнь №12";"Ținta nr. 12";"目标 №12";"目\t标\t \t№\t12";;
"structures/tank_target_17_char_0";"Target №17";"Cible №17";"Bersaglio №17";"Ziel #17";"Blanco Nº 17";"Мишень №17";"Cel №17";"cíl č.17";"Hedef №17";"目\t标\t 17";"Target №17";"Alvo Nº17";"Target №17";"Мішень №17";"Target №17";"célpont #17";"17번 표적";"Мішэнь №17";"Ținta nr. 17";"目标 №17";"目\t标\t \t№\t17";;
"structures/tank_target_17_char_1";"Target №17";"Cible №17";"Bersaglio №17";"Ziel #17";"Blanco Nº 17";"Мишень №17";"Cel №17";"cíl č.17";"Hedef №17";"目\t标\t 17";"Target №17";"Alvo Nº17";"Target №17";"Мішень №17";"Target №17";"célpont #17";"17번 표적";"Мішэнь №17";"Ținta nr. 17";"目标 №17";"目\t标\t \t№\t17";;
"structures/tank_target_17_char_2";"Target №17";"Cible №17";"Bersaglio №17";"Ziel #17";"Blanco Nº 17";"Мишень №17";"Cel №17";"cíl č.17";"Hedef №17";"目\t标\t 17";"Target №17";"Alvo Nº17";"Target №17";"Мішень №17";"Target №17";"célpont #17";"17번 표적";"Мішэнь №17";"Ținta nr. 17";"目标 №17";"目\t标\t \t№\t17";;
"structures/tank_target_25_char_0";"Target №25";"Cible №25";"Bersaglio №25";"Ziel #25";"Blanco Nº 25";"Мишень №25";"Cel №25";"cíl č.25";"Hedef №25";"目\t标\t 25";"Target №25";"Alvo Nº25";"Target №25";"Мішень №25";"Target №25";"célpont #25";"25번 표적";"Мішэнь №25";"Ținta nr. 25";"目标 №25";"目\t标\t \t№\t25";;
"structures/tank_target_25_char_1";"Target №25";"Cible №25";"Bersaglio №25";"Ziel #25";"Blanco Nº 25";"Мишень №25";"Cel №25";"cíl č.25";"Hedef №25";"目\t标\t 25";"Target №25";"Alvo Nº25";"Target №25";"Мішень №25";"Target №25";"célpont #25";"25번 표적";"Мішэнь №25";"Ținta nr. 25";"目标 №25";"目\t标\t \t№\t25";;
"structures/tank_target_25_char_2";"Target №25";"Cible №25";"Bersaglio №25";"Ziel #25";"Blanco Nº 25";"Мишень №25";"Cel №25";"cíl č.25";"Hedef №25";"目\t标\t 25";"Target №25";"Alvo Nº25";"Target №25";"Мішень №25";"Target №25";"célpont #25";"25번 표적";"Мішэнь №25";"Ținta nr. 25";"目标 №25";"目\t标\t \t№\t25";;
"structures/tank_target_8_char_0";"Target №8";"Cible №8";"Bersaglio №8";"Ziel #8";"Blanco Nº 8";"Мишень №8";"Cel №8";"cíl č.8";"Hedef №8";"目\t标\t 8";"Target №8";"Alvo Nº8";"Target №8";"Мішень №8";"Target №8";"célpont #8";"8번 표적";"Мішэнь №8";"Ținta nr. 8";"目标 №8";"目\t标\t \t№\t8";;
"structures/tank_target_8_char_1";"Target №8";"Cible №8";"Bersaglio №8";"Ziel #8";"Blanco Nº 8";"Мишень №8";"Cel №8";"cíl č.8";"Hedef №8";"目\t标\t 8";"Target №8";"Alvo Nº8";"Target №8";"Мішень №8";"Target №8";"célpont #8";"8번 표적";"Мішэнь №8";"Ținta nr. 8";"目标 №8";"目\t标\t \t№\t8";;
"structures/tank_target_8_char_2";"Target №8";"Cible №8";"Bersaglio №8";"Ziel #8";"Blanco Nº 8";"Мишень №8";"Cel №8";"cíl č.8";"Hedef №8";"目\t标\t 8";"Target №8";"Alvo Nº8";"Target №8";"Мішень №8";"Target №8";"célpont #8";"8번 표적";"Мішэнь №8";"Ținta nr. 8";"目标 №8";"目\t标\t \t№\t8";;
"structures/tank_target_9_char_0";"Target №9";"Cible №9";"Bersaglio №9";"Ziel #8";"Blanco Nº 9";"Мишень №9";"Cel №9";"cíl č.9";"Hedef №9";"目\t标\t 9";"Target №9";"Alvo Nº9";"Target №9";"Мішень №9";"Target №9";"célpont #9";"9번 표적";"Мішэнь №9";"Ținta nr. 9";"目标 №9";"目\t标\t \t№\t9";;
"structures/tank_target_9_char_1";"Target №9";"Cible №9";"Bersaglio №9";"Ziel #8";"Blanco Nº 9";"Мишень №9";"Cel №9";"cíl č.9";"Hedef №9";"目\t标\t 9";"Target №9";"Alvo Nº9";"Target №9";"Мішень №9";"Target №9";"célpont #9";"9번 표적";"Мішэнь №9";"Ținta nr. 9";"目标 №9";"目\t标\t \t№\t9";;
"structures/tank_target_9_char_2";"Target №9";"Cible №9";"Bersaglio №9";"Ziel #8";"Blanco Nº 9";"Мишень №9";"Cel №9";"cíl č.9";"Hedef №9";"目\t标\t 9";"Target №9";"Alvo Nº9";"Target №9";"Мішень №9";"Target №9";"célpont #9";"9번 표적";"Мішэнь №9";"Ținta nr. 9";"目标 №9";"目\t标\t \t№\t9";;
"unic_hornet";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"""Хорнет"" (CV-8)";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"“\t大\t黄\t蜂\t”\t号\t航\t空\t母\t舰";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"""Хорнет"" (CV-8)";"USS Hornet CV-8";"USS Hornet (CV-8)";"USS 호넷 CV-8";"«Хорнэт» (CV-8)";"USS Hornet CV-8";"美國海軍大黃蜂號航空母艦 CV-8";"“\t大\t黄\t蜂\t”\t号\t航\t空\t母\t舰";;
"unic_hornet_0";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet (CV-8)";"""Хорнет"" (CV-8)";"USS Hornet CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"“\t大\t黄\t蜂\t”\t号\t航\t空\t母\t舰";"米海軍航空母艦\tホーネット CV-8";"USS Hornet CV-8";"USS Hornet CV-8";"""Хорнет"" (CV-8)";"USS Hornet CV-8";"USS Hornet (CV-8)";"USS 호넷 CV-8";"«Хорнэт» (CV-8)";"USS Hornet CV-8";"美國海軍大黃蜂號航空母艦 CV-8";"“\t大\t黄\t蜂\t”\t号\t航\t空\t母\t舰";;
"unic_hornet_1";"USS Hornet";"USS Hornet";"Portaerei USA";"USS Hornet";"USS Hornet";"""Хорнет""";"USS Hornet";"USS Hornet";"USS Hornet";"“\t大\t黄\t蜂\t”\t号\t航\t空\t母\t舰";"米海軍航空母艦\tホーネット";"USS Hornet";"USS Hornet";"""Хорнет""";"USS Hornet";"USS Hornet";"USS 호넷";"«Хорнэт»";"USS Hornet";"美國海軍大黃蜂號航空母艦";"“\t大\t黄\t蜂\t”\t号\t航\t空\t母\t舰";;
"unic_hornet_2";"Carrier";"Porte-avion";"Portaerei";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"Hornet";"Uçak gemisi";"航\t空\t母\t舰";"空母";"Porta-aviões";"Carrier";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"Portavion american";"航空母艦";"“\t大\t黄\t蜂\t”\t号\t航\t空\t母\t舰";;
"unic_enterprise";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"""Энтерпрайз"" (CV-6)";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"“\t企\t业\t”\t号\t航\t空\t母\t舰";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"""Ентерпрайз"" (CV-6)";"USS Enterprise CV-6";"USS Enterprise (CV-6)";"USS 엔터프라이즈 CV-6";"«Энтэрпрайз» (CV-6)";"USS Enterprise CV-6";"企業號航空母艦 CV-6";"“\t企\t业\t”\t号\t航\t空\t母\t舰";;
"unic_enterprise_0";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise (CV-6)";"""Энтерпрайз"" (CV-6)";"USS Enterprise CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"“\t企\t业\t”\t号\t航\t空\t母\t舰";"米海軍航空母艦\tエンタープライズ CV-6";"USS Enterprise CV-6";"USS Enterprise CV-6";"""Ентерпрайз"" (CV-6)";"USS Enterprise CV-6";"USS Enterprise (CV-6)";"USS 엔터프라이즈 CV-6";"«Энтэрпрайз» (CV-6)";"USS Enterprise CV-6";"企業號航空母艦 CV-6";"“\t企\t业\t”\t号\t航\t空\t母\t舰";;
"unic_enterprise_1";"USS Enterprise";"USS Enterprise";"Portaerei USA";"USS Enterprise";"USS Enterprise";"""Энтерпрайз""";"USS Enterprise";"USS Enterprise";"USS Enterprise";"“\t企\t业\t”\t号\t航\t空\t母\t舰";"米海軍航空母艦\tエンタープライズ";"USS Enterprise";"USS Enterprise";"""Ентерпрайз""";"USS Enterprise";"USS Enterprise";"USS 엔터프라이즈";"«Энтэрпрайз»";"USS Enterprise";"美國海軍企業號航空母艦";"“\t企\t业\t”\t号\t航\t空\t母\t舰";;
"unic_enterprise_2";"Carrier";"Porte-avion";"Portaerei";"Flugzeugträger";"Portaaviones";"Авианосец";"Lotniskowiec";"Enterprise";"Uçak gemisi";"航\t空\t母\t舰";"空母";"Porta-aviões";"Carrier";"Авіаносець";"Nosač aviona";"repülőgép-hordozó";"항공모함";"Авіяносец";"Portavion american";"航空母艦";"航\t空\t母\t舰";;
