"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"country_britain_pilot_3";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Мартин Блэки";"Martin Blakey";"Martin Blakey";"Martin Blakey";"马\t丁\t·\t布\t莱\t基";"マーチン・ブランキー";"Martin Blakey";"Martin Blakey";"Мартін Блекі";"Martin Blakey";"Martin Blakey";"마틴 블래키";"Марцін Блэкі";"««Martin Blakey»»";"馬丁．布萊基";"马\t丁\t·\t布\t莱\t基";;
"country_britain_pilot_4";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Оскар Аткин";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"奥\t斯\t卡\t·\t阿\t特\t金";"オスカー・アトキン";"Oscar Atkin";"Oscar Atkin";"Оскар Аткін";"Oscar Atkin";"Oscar Atkin";"오스카 앳킨";"Оскар Эткін";"««Oscar Atkin»»";"奧斯卡．阿特金";"奥\t斯\t卡\t·\t阿\t特\t金";;
"country_germany_pilot_1";"Dietrich Newman";"Dietrich Newman";"Dietrich Newman";"Dietrich Neumann";"Dietrich Newman";"Дитрих Ньюман";"Dietrich Newman";"Dietrich Newman";"Dietrich Newman";"迪\t特\t里\t希\t·\t纽\t曼";"ディートリヒ・ニューマン";"Dietrich Newman";"Dietrich Newman";"Дітріх Ньюман";"Dietrich Newman";"Dietrich Newman";"디트리히 노이만";"Дытрых Ньюман";"««Dietrich Newman»»";"迪特裡希．紐曼";"迪\t特\t里\t希\t·\t纽\t曼";;
"country_germany_pilot_2";"Gunther Beyer";"Gunther Beyer";"Gunther Beyer";"Günther Beyer";"Gunther Beyer";"Гюнтер Бейер";"Gunther Beyer";"Gunther Beyer";"Gunther Beyer";"贡\t特\t尔\t·\t拜\t尔";"グンサー・ベイヤー";"Gunther Beyer";"Gunther Beyer";"Гюнтер Беєр";"Gunther Beyer";"Gunther Beyer";"군터 바이어";"Ґюнтэр Баер";"««Gunther Beyer»»";"鞏特爾．拜爾";"贡\t特\t尔\t·\t拜\t尔";;
"country_germany_pilot_3";"Hans Meymberg";"Hans Meymberg";"Hans Meymberg";"Hans Meymberg";"Hans Meymberg";"Ганс Меймберг";"Hans Meymberg";"Hans Meimberg";"Hans Meymberg";"汉\t斯\t·\t梅\t姆\t伯\t格";"ハンス・メイムバーグ";"Hans Meymberg";"Hans Meymberg";"Ганс Меймберг";"Hans Meymberg";"Hans Meymberg";"한스 마임버그";"Ганс Маймбэрг";"««Hans Meymberg»»";"漢斯．梅姆伯格";"汉\t斯\t·\t梅\t姆\t伯\t格";;
"country_germany_pilot_4";"Paul Schweiger";"Paul Schweiger";"Paul Schweiger";"Paul Schweiger";"Paul Schweiger";"Пол Швайгер";"Paul Schweiger";"Paul Schweiger";"Paul Schweiger";"保\t罗\t·\t施\t威\t格";"ポール・シュバイガー";"Paul Schweiger";"Paul Schweiger";"Пол Швайгер";"Paul Schweiger";"Paul Schweiger";"폴 슈바이거";"Паўль Швайґер";"««Paul Schweiger»»";"保羅．施威格";"保\t罗\t·\t施\t威\t格";;
"country_italy_pilot_1";"Adriano Visconti";"Adriano Visconti";"Adriano Visconti";"Adriano Visconti";"Adriano Visconti";"Адриано Висконти";"Adriano Visconti";"Adriano Visconti";"Adriano Visconti";"阿\t德\t里\t亚\t诺\t·\t维\t斯\t康\t蒂";"アドリアーノ・ヴィスコンティ";"Adriano Visconti";"Adriano Visconti";"Адріано Вісконті";"Adriano Visconti";"Adriano Visconti";"아드리아노 비스콘티";"Адрыяна Вісконці";"««Adriano Visconti»»";"阿德里亞諾．維斯康蒂";"阿\t德\t里\t亚\t诺\t·\t维\t斯\t康\t蒂";;
"country_italy_pilot_2";"Franco Lucchin";"Franco Lucchin";"Franco Lucchini";"Franco Lucchin";"Franco Lucchini";"Франко Лючин";"Franco Lucchin";"Franco Lucchini";"Franco Lucchini";"弗\t朗\t哥\t·\t鲁\t奇\t尼";"フランコ・ルッチン";"Franco Lucchin";"Franco Lucchin";"Франко Лючін";"Franco Lucchin";"Franco Lucchini";"프랑코 루친";"Франка Люккіні";"««Franco Lucchini»»";"弗朗哥．魯奇尼";"弗\t朗\t哥\t·\t鲁\t奇\t尼";;
"country_italy_pilot_3";"Teresio Vittorio Martinoli";"Teresio Vittorio Martinoli";"Teresio Vittorio Martinoli";"Teresio Vittorio Martinoli";"Teresio Vittorio Martinoli";"Терезио Витторио Мартиноли";"Teresio Vittorio Martinoli";"Teresio Vittorio Martinoli";"Teresio Vittorio Martinoli";"特\t雷\t西\t奥\t·\t维\t托\t里\t奥\t·\t马\t蒂\t诺\t里";"テレジオ・ヴィットリオ・マルティノリ";"Teresio Vittorio Martinoli";"Teresio Vittorio Martinoli";"Терезіо Вітторіо Мартінолі";"Gunther Beyer";"Teresio Vittorio Martinoli";"테레지오 비토리오 마르티놀리";"Тэрэсьё Вітор'ё Марцінолі";"««Teresio Vittorio Martinoli»»";"特雷西奧．維托裡奧．馬蒂諾里";"特\t雷\t西\t奥\t·\t维\t托\t里\t奥\t·\t马\t蒂\t诺\t里";;
"country_italy_pilot_4";"Leonardo Ferrulli";"Leonardo Ferrulli";"Leonardo Ferrulli";"Leonardo Ferrulli";"Leonardo Ferrulli";"Леонардо Ферулли";"Leonardo Ferrulli";"Leonardo Ferrulli";"Leonardo Ferrulli";"莱\t昂\t纳\t多\t·\t菲\t鲁\t里";"レオナルド・フェルッリ";"Leonardo Ferrulli";"Leonardo Ferrulli";"Леонардо Феруллі";"Leonardo Ferrulli";"Leonardo Ferrulli";"레오나르도 페루리";"Леанарда Фэруллі";"««Leonardo Ferrulli»»";"萊昂納多．菲魯里";"莱\t昂\t纳\t多\t·\t菲\t鲁\t里";;
"country_usa_pilot_1";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"Этвуд Чени";"Atwood Chaney";"Atwood Chaney";"Atwood Chaney";"阿\t特\t伍\t德\t·\t查\t尼";"アトウッド・チェイニー";"Atwood Chaney";"Atwood Chaney";"Етвуд Чені";"Atwood Chaney";"Atwood Chaney";"앳우드 채니";"Этвуд Чэні";"««Atwood Chaney»»";"阿特伍德．查尼";"阿\t特\t伍\t德\t·\t查\t尼";;
"country_usa_pilot_2";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"Morgan Brett";"摩\t根\t·\t布\t雷\t特";"モーガン・ブレット";"Morgan Brett";"Morgan Brett";"Морган Бретт";"Morgan Brett";"Morgan Brett";"모건 브렛";"Морган Брэт";"««Morgan Brett»»";"摩根．布雷特";"摩\t根\t·\t布\t雷\t特";;
"country_usa_pilot_3";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Martin Blakey";"Мартин Блэки";"Martin Blakey";"Martin Blakey";"Martin Blakey";"马\t丁\t·\t布\t莱\t基";"マーチン・ブランキー";"Martin Blakey";"Martin Blakey";"Мартін Блекі";"Martin Blakey";"Martin Blakey";"마틴 블래키";"Марцін Блэкі";"««Martin Blakey»»";"馬丁．布萊基";"马\t丁\t·\t布\t莱\t基";;
"country_usa_pilot_4";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"Оскар Аткин";"Oscar Atkin";"Oscar Atkin";"Oscar Atkin";"奥\t斯\t卡\t·\t阿\t特\t金";"オスカー・アトキン";"Oscar Atkin";"Oscar Atkin";"Оскар Аткін";"Oscar Atkin";"Oscar Atkin";"오스카 앳킨";"Оскар Эткін";"««Oscar Atkin»»";"奧斯卡．阿特金";"奥\t斯\t卡\t·\t阿\t特\t金";;
"country_ussr_pilot_1";"Georgy Badaev";"Georgy Badaev";"Georgy Badaev";"Georgy Badaev";"Georgy Badaev";"Георгий Бадаев";"Gieorgij Badajew";"Georgij Badajev";"Georgy Badaev";"格\t奥\t尔\t基\t·\t巴\t达\t耶\t夫";"ゲオルギ・バダエフ";"Georgy Badaev";"Georgy Badaev";"Георгій Бадаєв";"Georgy Badaev";"Georgij Badajev";"게오르기 바다예프";"Георгій Бадаеў";"««Georgy Badaev»»";"格奧爾基．巴達耶夫";"格\t奥\t尔\t基\t·\t巴\t达\t耶\t夫";;
"country_ussr_pilot_2";"Roman Marinin";"Roman Marinin";"Roman Marinin";"Roman Marinin";"Roman Marinin";"Роман Маринин";"Roman Marinin";"Roman Marinin";"Roman Marinin";"罗\t曼\t·\t马\t列\t宁";"ローマン・マリニン";"Roman Marinin";"Roman Marinin";"Роман Марінін";"Roman Marinin";"Roman Marinyin";"로만 마리닌";"Раман Марынін";"««Roman Marinin»»";"羅曼．馬列寧";"罗\t曼\t·\t马\t列\t宁";;
"country_ussr_pilot_3";"Dmitry Strelcov";"Dmitry Strelcov";"Dmitry Strelcov";"Dimitry Strelcov";"Dmitry Strelcov";"Дмитрий Стрельцов";"Dmitrij Strielcow";"Dmitrij Strelcov";"Dmitry Strelcov";"德\t米\t特\t里\t·\t斯\t特\t列\t尔\t科\t夫";"ディミトリー・ストレルコフ";"Dmitry Strelcov";"Dmitry Strelcov";"Дмитро Стрєльцов";"Dmitry Strelcov";"Dmitrij Sztrelcov";"드미트리 스트렐코프";"Дзмітрый Стральцоў";"««Dmitry Strelcov»»";"德米特裡．斯特列爾科夫";"德\t米\t特\t里\t·\t斯\t特\t列\t尔\t科\t夫";;
"country_ussr_pilot_4";"Mikhail Tanaev";"Mikhail Tanaev";"Mikhail Tanaev";"Mikhail Tanaev";"Mikhail Tanaev";"Михаил Танаев";"Michaił Tanajew";"Michail Tanajev";"Mikhail Tanaev";"米\t哈\t伊\t尔\t·\t塔\t纳\t耶\t夫";"ミハイル・タナエフ";"Mikhail Tanaev";"Mikhail Tanaev";"Михайло Танаєв";"Mikhail Tanaev";"Mihail Tanajev";"미하일 타나에프";"Міхаіл Танаеў";"««Mikhail Tanaev»»";"米哈伊爾．塔納耶夫";"米\t哈\t伊\t尔\t·\t塔\t纳\t耶\t夫";;
"coop/Bot0";"Boris";"Boris";"Boris";"Boris";"Boris";"Boris";"Borys";"Boris";"Boris";"鲍\t里\t斯";"ボリス";"Boris";"Boris";"Борис";"Boris";"Borisz";"보리스";"Boris";"««Boris»»";"伯里斯";"隔\t壁\t老\t王";;
"coop/Bot1";"John";"John";"John";"John";"John";"John";"John";"John";"John";"约\t翰";"ジョン";"John";"John";"Джон";"John";"John";"존";"John";"««John»»";"約翰";"战\t术\t核\t显\t卡";;
"coop/Bot2";"Vladimir";"Vladimir";"Vladimir";"Wladimir";"Vladimir";"Vladimir";"Władimir";"Vladimir";"Vladimir";"弗\t拉\t基\t米\t尔";"ウラジミール";"Vladimir";"Vladimir";"Володимир";"Vladimir";"Vlagyimir";"블라디미르";"Vladimir";"««Vladimir»»";"弗拉基米爾";"我\t爱\t吃\t辣\t条";;
"coop/Bot3";"Sam";"Sam";"Sam";"Sam";"Sam";"Sam";"Sam";"Sam";"Sam";"山\t姆";"サム";"Sam";"Sam";"Сем";"Sam";"Sam";"샘";"Sam";"««Sam»»";"山姆";"飞\t不\t起\t来";;
"coop/Bot4";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"Pedro";"佩\t德\t罗";"ペドロ";"Pedro";"Pedro";"Педро";"Pedro";"Pedro";"페드로";"Pedro";"««Pedro»»";"佩德羅";"希\t格\t拉\t之\t耀";;
"coop/Bot5";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"Samuel";"塞\t缪\t尔";"サミュエル";"Samuel";"Samuel";"Семюел";"Samuel";"Samuel";"새뮤얼";"Samuel";"««Samuel»»";"撒母耳";"人\t操\t火\t箭";;
"coop/Bot6";"Haru";"Haru";"Haru";"Haru";"Haru";"Haru";"Haru";"Haru";"Haru";"哈\t鲁";"ハル";"Haru";"Haru";"Хару";"Haru";"Haru";"하루";"Haru";"««Haru»»";"哈魯";"陆\t军\t马\t鹿";;
"coop/Bot7";"Lucy";"Lucy";"Lucia";"Lucy";"Lucy";"Lucy";"Lucy";"Lucy";"Lucy";"露\t西";"ルーシー";"Lucy";"Lucy";"Люсі";"Lucy";"Lucy";"루시";"Lucy";"««Lucy»»";"露西";"五\t对\t负\t重\t轮";;
"coop/Bot8";"Harry";"Harry";"Harry";"Harry";"Harry";"Harry";"Harry";"Harry";"Harry";"哈\t利";"ハリー";"Harry";"Harry";"Гаррі";"Harry";"Harry";"해리";"Harry";"««Harry»»";"哈利";"政\t委\t别\t开\t枪";;
"coop/Bot9";"Leo";"Leo";"Leo";"Leo";"Leo";"Leo";"Leo";"Leo";"Leo";"利\t奥";"リオ";"Leo";"Leo";"Лео";"Leo";"Leo";"레오";"Leo";"««Leo»»";"利奧";"专\t喝\t地\t沟\t油";;
"coop/Bot10";"Max";"Max";"Max";"Max";"Max";"Max";"Max";"Max";"Max";"马\t克\t斯";"マックス";"Max";"Max";"Макс";"Max";"Max";"맥스";"Max";"««Max»»";"馬克斯";"土\t豆\t发\t射\t器";;
"coop/Bot11";"Adam";"Adam";"Adam";"Adam";"Adam";"Adam";"Adam";"Adam";"Adam";"亚\t当";"アダム";"Adam";"Adam";"Адам";"Adam";"Adam";"애덤";"Adam";"««Adam»»";"亞當";"因\t果\t律\t武\t器";;
"coop/Bot12";"Luke";"Luke";"Luca";"Luke";"Luke";"Luke";"Luke";"Luke";"Luke";"卢\t克";"ルーク";"Luke";"Luke";"Люк";"Luke";"Luke";"루크";"Luke";"««Luke»»";"盧克";"朗\t森\t打\t火\t机";;
"coop/Bot13";"Henry";"Henry";"Henry";"Henry";"Henry";"Henry";"Henry";"Henry";"Henry";"亨\t利";"ヘンリー";"Henry";"Henry";"Генрі";"Henry";"Henry";"헨리";"Henry";"««Henry»»";"亨利";"拐\t角\t的\t马\t桶\t头";;
"coop/Bot14";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"Ryan";"瑞\t恩";"ライアン";"Ryan";"Ryan";"Раян";"Ryan";"Ryan";"라이언";"Ryan";"««Ryan»»";"瑞恩";"五\t毛\t特\t效";;
"coop/Bot15";"Alex";"Alex";"Alex";"Alex";"Alex";"Alex";"Alex";"Alex";"Alex";"亚\t历\t克\t斯";"アレックス";"Alex";"Alex";"Алекс";"Alex";"Alex";"알렉스";"Alex";"««Alex»»";"亞曆克斯";"鱼\t雷\t骑\t脸";;
"coop/Bot16";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"Ryo";"亮";"リョウ";"Ryo";"Ryo";"Рьо";"Ryo";"Rjó";"료";"Ryo";"««Ryo»»";"亮";"卖\t履\t带\t的\t女\t孩";;
"coop/Bot17";"Shinya";"Shinya";"Shinya";"Shinya";"Shinya";"Shinya";"Shinya";"Šinja";"Shinya";"慎\t也";"シンヤ";"Shinya";"Shinya";"Шинья";"Shinya";"Sinja";"신야";"Shinya";"««Shinya»»";"慎也";"蛋\t炒\t饭";;
"coop/Bot18";"Tetsuo";"Tetsuo";"Tetsuo";"Tetsuo";"Tetsuo";"Tetsuo";"Tetsuo";"Tecuo";"Tetsuo";"哲\t生";"テツオ";"Tetsuo";"Tetsuo";"Тетсуо";"Tetsuo";"Tecuo";"테츠오";"Tetsuo";"««Tetsuo»»";"哲生";"逗\t比";;
"coop/Bot19";"Shoji";"Shoji";"Shoji";"Shoji";"Shoji";"Shoji";"Shoji";"Šoji";"Shoji";"庄\t司";"ショウジ";"Shoji";"Shoji";"Сьодзі";"Shoji";"Sódzsi";"쇼지";"Shoji";"««Shoji»»";"莊司";"百\t万\t拖\t拉\t机";;
"coop/Bot20";"Akira";"Akira";"Akira";"Akira";"Akira";"Akira";"Akira";"Akira";"Akira";"彰";"アキラ";"Akira";"Akira";"Акіра";"Akira";"Akira";"아키라";"Akira";"««Akira»»";"彰";"起\t落\t架\t杀\t手";;
"coop/Bot21";"Yasushi";"Yasushi";"Yasushi";"Yasushi";"Yasushi";"Yasushi";"Yasushi";"Jasuši";"Yasushi";"康";"ヤスシ";"Yasushi";"Yasushi";"Ясуші";"Yasushi";"Jaszusi";"야스시";"Yasushi";"««Yasushi»»";"康";"加\t力\t燃\t烧\t室";;
"coop/Bot22";"Jun";"Jun";"Giu";"Jun";"Jun";"Jun";"Jun";"Jun";"Jun";"纯";"ジュン";"Jun";"Jun";"Джун";"Jun";"Dzsun";"준";"Jun";"««Jun»»";"純";"蚊\t式\t副\t驾\t驶";;
"coop/Bot23";"Kenji";"Kenji";"Kenji";"Kenji";"Kenji";"Kenji";"Kenji";"Kendži";"Kenji";"健\t二";"ケンジ";"Kenji";"Kenji";"Кендзі";"Kenji";"Kendzsi";"켄지";"Kenji";"««Kenji»»";"健二";"鹰\t之\t号\t角";;
"coop/Bot24";"Kirill";"Kirill";"Kirill";"Kirill";"Kirill";"Kirill";"Kirył";"Kirill";"Kirill";"基\t里\t尔";"キリル";"Kirill";"Kirill";"Кирило";"Kirill";"Kirill";"키릴";"Kirill";"««Kirill»»";"基里爾";"海\t带\t绕\t潜\t艇";;
"coop/Bot25";"Vasiliy";"Vasiliy";"Vasiliy";"Wasiliy";"Vasiliy";"Vasiliy";"Wasilij";"Vasilij";"Vasiliy";"瓦\t西\t里";"ワシリー";"Vasiliy";"Vasiliy";"Василь";"Vasiliy";"Vaszilij";"바실리";"Vasiliy";"««Vasiliy»»";"瓦西裡";"亩\t产\t一\t千\t八";;
"coop/Bot26";"Sergey";"Sergey";"Sergey";"Sergey";"Sergey";"Sergey";"Siergiej";"Sergej";"Sergey";"谢\t尔\t盖";"セルゲイ";"Sergey";"Sergey";"Сергій";"Sergey";"Szergej";"세르게이";"Sergey";"««Sergey»»";"謝爾蓋";"先\t射\t再\t乌\t拉";;
"coop/Bot27";"Ivan";"Ivan";"Ivan";"Ivan";"Ivan";"Ivan";"Iwan";"Ivan";"İvan";"伊\t万";"イヴァン";"Ivan";"Ivan";"Іван";"Ivan";"Ivan";"이반";"Ivan";"««Ivan»»";"伊萬";"武\t装\t挖\t掘\t机";;
"coop/Bot28";"Igor";"Igor";"Igor";"Igor";"Igor";"Igor";"Igor";"Igor";"İgor";"伊\t格\t尔";"イゴール";"Igor";"Igor";"Ігор";"Igor";"Igor";"이고르";"Igor";"««Igor»»";"伊格爾";"马\t猴\t烧\t酒";;
"coop/Bot29";"Giovanni";"Giovanni";"Giovanni";"Giovanni";"Giovanni";"Giovanni";"Giovanni";"Giovanni";"Giovanni";"乔\t万\t尼";"ジョバンニ";"Giovanni";"Giovanni";"Джованні";"Giovanni";"Giovanni";"지오반니";"Giovanni";"««Giovanni»»";"喬萬尼";"神\t之\t锉\t刀";;
"coop/Bot30";"Mario";"Mario";"Mario";"Mario";"Mario";"Mario";"Mario";"Mario";"Mario";"马\t里\t奥";"マリオ";"Mario";"Mario";"Маріо";"Mario";"Mario";"마리오";"Mario";"««Mario»»";"馬里奧";"慈\t父\t的\t爱";;
"coop/Bot31";"Luigi";"Luigi";"Luigi";"Luigi";"Luigi";"Luigi";"Luigi";"Luigi";"Luigi";"路\t易\t吉";"ルイジ";"Luigi";"Luigi";"Луїджі";"Luigi";"Luigi";"루이지";"Luigi";"««Luigi»»";"路易吉";"无\t产\t阶\t级\t之\t腿";;
"coop/Bot32";"Erich";"Erich";"Erich";"Erich";"Erich";"Erich";"Erich";"Erich";"Erich";"埃\t里\t希";"エーリヒ";"Erich";"Erich";"Еріх";"Erich";"Erich";"에리히";"Erich";"««Erich»»";"埃裡希";"哀\t伤\t之\t霜";;
"coop/BotPrefix";"[ai] ";"[ai] ";"[ai] ";"[ai] ";"[ai] ";"[ии] ";"[ai] ";"[ai] ";"[ai] ";"AI";"[アイ]";"[ai] ";"[ai] ";"[ai] ";"[ai] ";"[MI] ";"[ai]";"ai ";"««[ai] »»";"AI";"AI";;
"country_japan_pilot_5";"Eiji Togan";"Eiji Togan";"Eiji Togan";"Eiji Togan";"Eiji Togan";"Эйдзи Тоган";"Eiji Togan";"Eidži Togan";"Eiji Togan";"东\t岸\t荣\t治";"若松 幸禧・\t赤松 貞明";"Eiji Togan";"Eiji Togan";"Ейдзі Тоган";"Eiji Togan";"Togan Eidzsi";"토간 에이지";"Эідзі Тоган";"««Eiji Togan»»";"東岸榮治";"东\t岸\t荣\t治";;
"country_japan_pilot_6";"Yasuhiro Genryusai";"Yasuhiro Genryusai";"Yasuhiro Genryusai";"Yasuhiro Genryusai";"Yasuhiro Genryusai";"Ясухиро Генрюсай";"Yasuhiro Genryusai";"Jasuhiro Genrjusai";"Yasuhiro Genryusai";"源\t柳\t斋\t康\t弘";"岩橋・\t岩本";"Yasuhiro Genryusai";"Yasuhiro Genryusai";"Ясухіро Генрюсай";"Yasuhiro Genryusai";"Genrjuszai Jaszuhiro";"겐류사이 야스히로";"Ясухіро Гэнр'юсай";"««Yasuhiro Genryusai»»";"源柳齋康弘";"源\t柳\t斋\t康\t弘";;
"country_japan_pilot_7";"Susumu Kakimoto";"Susumu Kakimoto";"Susumu Kakimoto";"Susumu Kakimoto";"Susumu Kakimoto";"Сусуми Какимото";"Susumu Kakimoto";"Susumu Kakimoto";"Susumu Kakimoto";"柿\t本\t进";"柿本 進";"Susumu Kakimoto";"Susumu Kakimoto";"Сусуму Какімото";"Susumu Kakimoto";"Kakimoto Szuszumu";"가키모토 스스무";"Сусумі Какімато";"««Susumu Kakimoto»»";"柿本進";"柿\t本\t进";;
