"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"chat/error/401/userNotConnected";"%s: Not connected to chat";"%s : Pas connecté au chat";"%s: Non connesso alla chat";"%s: Nicht mit Chat verbunden";"%s: no conectado al chat";"%s: Не подключен к чату";"%s: gracz nie jest połączony z czatem";"%s: Nepřipojeno ke konverzaci";"%s: Sohbete bağlı değil";"%s：\t未\t连\t接\t聊\t天\t服\t务\t器";"%s:チャットに\t接続していません";"%s: não conectado ao Chat";"%s: Не підключений до чату";"%s: Nije u igri";"%s: nincs kapcsolódva a társalgóhoz";"%s: 채팅에 접속되어 있지 않습니다.";"%s: Не падлучыўся да чата";"%s: Nu este conectat la discuții.";"%s: 未\t連\t線\t到\t聊\t天\t伺\t服\t器";"%s：\t未\t连\t接\t聊\t天\t服\t务\t器";;
"chat/error/402";"{param0}: No such server";"{param0} : Aucun serveur correspondant";"{param0}: Server inesistente";"{param0}: Kein Server mit dieser Bezeichnung gefunden";"{param0}: no existe el servidor.";"{param0}: Данный сервер не существует";"{param0}: Wybrany serwer nie istnieje";"{param0}: Takový server neexistuje";"{param0}: Böyle bir sunucu yok";"{param0}：\t无\t此\t服\t务\t器";"{param0}:そのような\tサーバーはありません";"{param0}: Não existe tal servidor";"{param0}: Даний сервер не існує";"{param0} Ne postoji takav server";"{param0}: nincs ilyen szerver";"{param0}: 서버가 존재하지 않습니다.";"{param0}: Такога сервера не існуе";"{param0}: acest server nu există.";"{param0}: 無\t此\t伺\t服\t器";"{param0}：\t无\t此\t服\t务\t器";;
"chat/error/403";"{param1}: No such channel";"{param1} : Aucun canal correspondant";"{param1}: Canale inesistente";"{param1}: Kein Kanal mit dieser Bezeichnung gefunden";"{param1}: no existe el canal.";"{param1}: Данный канал не существует";"{param1}: Wybrany kanał nie istnieje";"{param1}: Takový kanál neexistuje";"{param1}: Böyle bir kanal yok";"{param1}：\t无\t此\t频\t道";"{param1}:そのような\tチャンネルはありません";"{param1}: Não existe tal canal";"{param1}: Даний канал не існує";"{param1} Ne postoji takav kanal";"{param1}: nincs ilyen csatorna";"{param1}: 대화방이 존재하지 않습니다.";"{param1}: Такога канала не існуе";"{param1}: acest canal nu există.";"{param1}: 無\t此\t頻\t道";"{param1}：\t无\t此\t频\t道";;
"chat/error/404";"{param0}: Cannot send to channel";"{param0} : Impossible d'envoyer au canal";"{param0}: Impossibile inviare al canale";"{param0}: Kann nicht an den Kanal senden";"{param0}: no se puede enviar al canal.";"{param0}: Невозможно отправить сообщение в канал";"{param0}: Nie można wysłać do kanału";"{param0}: Do kanálu nelze zasílat";"{param0}: Kanala gönderilemiyor";"{param0}：\t无\t法\t发\t送\t至\t该\t频\t道";"{param0}:チャンネルに\t送信できません";"{param0}: Não é possível enviar para o canal";"{param0}: Неможливо надіслати повідомлення в канал";"{param0} Ne možete poslati u kanal";"{param0}: nem lehet elküldeni a csatornának";"{param0}: 대화방에 메시지를 보낼 수 없습니다.";"{param0}: Немагчыма адправіць паведамленне ў канал";"{param0}: nu poți trimite în acest canal.";"{param0}: 無\t法\t發\t送\t至\t該\t頻\t道";"{param0}：\t无\t法\t发\t送\t至\t该\t频\t道";;
"chat/error/405";"{param0}: You have joined too many channels";"{param0} : Vous avez rejoint un trop grand nombre de canaux";"{param0}: Hai effettuato l'accesso a troppi canali ";"{param0}: Du bist zu vielen Kanälen beigetreten";"{param0}: te has unido a demasiados canales.";"{param0}: Вы присоединились к слишком большому количеству каналов";"{param0}: Jesteś zalogowany na zbyt wielu kanałach";"{param0}: Připojil ses k příliš mnoha kanálům";"{param0}: Çok fazla kanala girdin";"{param0}：\t加\t入\t频\t道\t过\t多";"{param0}:参加した\tチャンネルが\t多すぎます";"{param0}: Juntou-se a damasiados canais";"{param0}: Ви приєдналися до надто великої кількості каналів";"{param0} Pristupili ste prevelikom broju kanala";"{param0}: túl sok csatornához vagy csatlakozva";"{param0}: 너무 많은 수의 대화방에 접속중입니다.";"{param0}: Вы далучыліся да завялікай колькасці каналаў";"{param0}: te-ai alăturat la prea multe canale.";"{param0}: 加\t入\t頻\t道\t過\t多";"{param0}：\t加\t入\t频\t道\t过\t多";;
"chat/error/406";"{param0}: Such a nickname has never existed";"{param0}: Ce pseudo n'a jamais existé";"{param0}: Questo nickname non esiste";"{param0}: Dieser Nickname hat noch nie existiert.";"{param0}: nunca ha existido este apodo";"{param0}: Такого имени никогда не существовало";"{param0}: Taki pseudonim nigdy nie istniał";"{param0}: Taková přezdívka nikdy neexistovala";"{param0}: Bu kullanıcı adı hiç var olmadı";"{param0}：\t无\t此\t昵\t称";"存在しない\tプレイヤー\t名です";"{param0}: Nunca existiu esse nome de jogador";"{param0}: Такого імені ніколи не існувало";"{param0} Takav nadimak nikad nije postojao";"{param0}: Soha nem létezett ilyen felhasználónév";"{param0}: 그러한 닉네임은 존재하지 않습니다.";"{param0}: Такога гульца ніколі не існавала";"{param0}: acest pseudonim nu a existat vreodată.";"{param0}: 查\t無\t此\t暱\t稱";"{param0}：\t无\t此\t昵\t称";;
"chat/error/407";"{param0}: Duplicate recipients. No message delivered";"{param0} : Destinataires en double. Aucun message remis";"{param0}: Destinatari duplicati. Nessun messaggio recapitato";"{param0}: Doppelte Empfänger. Keine Nachricht gesendet";"{param0}: Destinatarios repetidos. No se ha entregado el mensaje.";"{param0}: Имена получателей повторяются. Сообщение не доставлено";"{param0}: Zduplikowany odbiorca, nie dostarczono wiadomości.";"{param0}: Duplicitní příjemci. Zpráva nebyla doručena";"{param0}: Eş alıcılar. Mesaj Teslim Edilmedi";"{param0}：\t收\t信\t人\t重\t复，\t消\t息\t发\t送\t不\t成\t功";"{param0}:受信者が\t重複しています。\tメッセージは\t配信されません";"{param0}: Destinatários duplicados. Nenhuma mensagem entregue";"{param0}: Імена одержувачів повторюються. Повідомлення не доставлено";"{param0} Duplikat primaoca. Poruka nije poslata";"{param0}: a címzettek kétszer szerepelnek, az üzenet nem lett kézbesítve";"{param0}: 수신자 중복. 메시지가 전달되지 않았습니다.";"{param0}: Паведамленне не было дастаўлена, бо імёны атрымальнікаў паўтараюцца";"{param0}: Destinatari duplicați. Mesajul nu a fost trimis.";"{param0}: 收\t信\t人\t重\t複，\t消\t息\t無\t法\t發\t送";"{param0}：\t收\t信\t人\t重\t复，\t消\t息\t发\t送\t不\t成\t功";;
"chat/error/409";"No origin specified";"Aucune origine spécifiée";"Nessuna origine specificata";"Kein Ursprung angegeben";"No se ha especificado el origen.";"Источник не указан";"""Nie rozpoznano źródła pochodzenia""";"Nebyl zadán původce";"Yer belirtilmedi";"未\t指\t定\t发\t信\t人";"原因が\t指定されていません";"Sem origem específica";"Джерело не вказано";"Poreklo nije navedeno";"Nincs meghatározva eredet";"출처를 확인할 수 없습니다.";"Крыніца не вызначана";"Nu s-a specificat originea.";"未\t指\t定\t發\t信\t人";"未\t指\t定\t发\t信\t人";;
"chat/error/411";"No recipient given ({param0})";"Aucun destinataire indiqué ({param0})";"Nessun destinatario specificato ({param0})";"Kein Empfänger angegeben ({param0})";"No se ha proporcionado el destinatario ({param0}).";"Получатель не указан ({param0})";"Nie podano odbiorcy ({param0})";"Nebyl zadán příjemce ({param0})";"Alıcı adı verilmedi ({param0})";"未\t指\t定\t收\t信\t人\t（{param0}）";"受信者 ({param0}) 指定なし";"Nenhum destinatário dado ({param0})";"Одержувач не вказаний ({param0})";"Nije odabran primalac {param0}";"Nincs megadva címzett ({param0})";"수신자가 지정되지 않았습니다. ({param0})";"{param0}: Атрымальнік не быў зададзены";"Nu s-a specificat destinatarul ({param0}).";"未\t指\t定\t收\t件\t人 ({param0})";"未\t指\t定\t收\t信\t人\t（{param0}）";;
"chat/error/412";"No text to send";"Aucun texte à envoyer";"Nessun testo da inviare";"Kein Text zum Senden";"No hay texto que enviar.";"Нет текста для отправки";"Brak treści wiadomości";"Žádný text k odeslání";"Gönderilecek metin yok";"未\t输\t入\t信\t件\t内\t容";"送信する\tテキストがありません";"Nenhum texto para enviar";"Немає тексту для відправки";"Niste napisali tekst";"Nincs elküldendő szöveg";"메시지가 입력되지 않았습니다.";"Няма тэксту для адпраўкі";"Nu există text de trimis.";"未\t輸\t入\t訊\t息\t內\t容";"未\t输\t入\t信\t件\t内\t容";;
"chat/error/413";"{param0}: No toplevel domain specified";"{param0} : Aucun domaine de premier niveau spécifié";"{param0}: Nessun dominio di livello superiore specificato";"{param0}: Keine Top-Level-Domain angegeben";"{param0}: no se ha especificado ningún dominio de nivel superior.";"{param0}: No toplevel domain specified";"{param0}: Nie określono domeny najwyższego poziomu";"{param0}: Není specifikována doména nejvyšší úrovně";"{param0}: Belirtilen üst düzey domain yok";"{param0}：\t未\t指\t定\t顶\t级\t域\t名";"{param0}:トップレベル ドメインが\t指定されていません";"{param0}: Nenhum domínio de nível superior especificado";"{param0}: No toplevel domain specified";"{param0}: Najviši internet domen (TLD) nije naveden";"{param0}: nincs legfelső szintű tartomány meghatározva";"{param0}: 최상위 도메인이 지정되지 않았습니다.";"{param0}: Не ўказаны дамен вышэйшага ўзроўню";"{param0}: nu s-a specificat nici un domeniu de nivel superior.";"{param0}: 未\t指\t定\t頂\t級\t域\t名";"{param0}：\t未\t指\t定\t顶\t级\t域\t名";;
"chat/error/414";"{param0}: Wildcard in toplevel domain";"{param0} : Caractère générique dans le domaine de premier niveau";"{param0}: Carattere jolly nel dominio di livello superiore";"{param0}: Platzhalter in Top-Level-Domain";"{param0}: hay un carácter comodín en el dominio de nivel superior.";"{param0}: Wildcard in toplevel domain";"{param0}: Wieloznacznik w domenie najwyższego poziomu";"{param0}: Zástupný znak v doméně nejvyšší úrovně";"{param0}: Üst seviye domaindeki wildcard";"{param0}：\t顶\t级\t域\t名\t中\t出\t现\t了\t通\t配\t符";"{param0}:トップレベル ドメインに\tワイルドカードがあります";"{param0}: Wildcard no domínio de nível superior";"{param0}: Wildcard in toplevel domain";"{param0}: Džokerski znak u najvišem internet domenu (TLD)";"{param0}: joker karakter a legfelső szintű tartományban";"{param0}: 최상위 도메인에 와일드카드 문자가 포함되어 있습니다.";"{param0}: Знак падстаноўкі ў дамене вышэйшага ўзроўню";"{param0}: caracter generic în domeniul de nivel superior.";"{param0}: 未\t指\t定\t頂\t級\t域\t名\t中\t有\t萬\t用\t字\t元";"{param0}：\t顶\t级\t域\t名\t中\t出\t现\t了\t通\t配\t符";;
"chat/error/421";"{param0}: Unknown command";"{param0} : Commande inconnue";"{param0}: Comando sconosciuto";"{param0}: Unbekannter Befehl";"{param0}: comando desconocido.";"{param0}: Неизвестная команда";"{param0}: Nieznane polecenie";"{param0}: Neznámý příkaz";"{param0}: Bilinmeyen komut";"{param0}：\t未\t知\t指\t令";"{param0}:不明な\tコマンド";"{param0}: Comando desconhecido";"{param0}: Невідома команда";"{param0}: Nepoznata komanda";"{param0}: ismeretlen parancs";"{param0}: 알 수 없는 명령어입니다.";"{param0}: Невядомая каманда";"{param0}: comandă necunoscută.";"{param0}：\t未\t知\t指\t令";"{param0}：\t未\t知\t指\t令";;
"chat/error/422";"MOTD File is missing";"Fichier MOTD manquant";"File MOTD mancante";"MOTD-Datei fehlt";"Falta el archivo MOTD.";"Файл MOTD не найден";"Brakuje pliku MOTD";"Chybí soubor MOTD";"MOTD Dosyası eksik";"当\t日\t信\t息\t文\t件\t丢\t失";"MOTD ファイルがありません";"Arquivo MOTD em falta";"Файл MOTD не знайдений";"Nedostaje MOTD fajl";"Hiányzó MOTD fájl";"MOTD 파일을 찾을 수 없습니다.";"Файл MOTD не знойдзены";"Fișierul MOTD lipsește.";"當\t日\t資\t料\t檔\t遺\t失";"当\t日\t信\t息\t文\t件\t丢\t失";;
"chat/error/423";"{param0}: No administrative info available";"{param0} : Aucune information administrative disponible";"{param0}: Nessuna informazione amministrativa disponibile";"{param0}: Keine Verwaltungsinformationen verfügbar";"{param0}: no hay información administrativa disponible.";"{param0}: Административная информация недоступна";"{param0}: Informacja administracyjna niedostępna";"{param0}: K dispozici nejsou žádné administrativní informace";"{param0}: Yönetim bilgisi mevcut değil";"{param0}：\t无\t可\t用\t管\t理\t信\t息";"{param0}:管理情報が\t使用可能ではありません";"{param0}: Nenhuma informação administrativa disponível";"{param0}: Адміністративна інформація недоступна";"{param0}: Nedostupni administrativni podaci";"{param0}: nincs elérhető adminisztratív információ";"{param0}: 관리 정보가 없습니다.";"{param0}: Адміністрацыйная інфармацыя недаступная";"{param0}: Nu există informații administrative disponibile.";"{param0}: 沒\t有\t可\t用\t的\t管\t理\t資\t訊";"{param0}：\t无\t可\t用\t管\t理\t信\t息";;
"chat/error/424";"File error doing {param0} on {param1}";"Erreur de fichier appliquant {param0} sur {param1}";"Errore file durante {param0} su {param1}";"Dateifehler bei Ausführung von {param0} auf {param1}";"Error de archivo al ejecutar {param0} en {param1}.";"File error doing {param0} on {param1}";"Błąd pliku podczas wykonywania {param0} na {param1}";"Chyba souboru při provádění {param0} na {param1}";"{param1} üzerinde {param0} yaparken dosya hatası";"文\t件\t错\t误：\t对 {param1} 进\t行\t了 {param0} 操\t作";"{param1} での {param0} の\t実行で\tファイルエラー";"Erro de arquivo fazendo {param0} em {param1}";"File error doing {param0} on {param1}";"Greška pri izvršenju {param0} na {param1}";"Fájlhiba lépett fel a(z) {param0} művelet végrehajtásakor a(z) {param1} fájlban";"{param1} 에서 {param0} 실행 시 파일 오류가 발생하였습니다.";"Памылка файла пры выкананні {param0} на {param1}";"Eroare fișier la efectuarea {param0} pe {param1}.";"使\t用 {param1} 執\t行 {param0} 時\t發\t生\t錯\t誤";"文\t件\t错\t误：\t对 {param1} 进\t行\t了 {param0} 操\t作";;
"chat/error/431";"No nickname given";"Aucun pseudo indiqué";"Nessun nickname specificato";"Kein Nickname gegeben";"No se ha proporcionado ningún apodo.";"Имя не указано";"Nie podano pseudonimu";"Nebyla zadána přezdívka";"Kullanıcı adı verilmedi";"未\t指\t定\t昵\t称";"ニックネームが\t付けられていません";"Nenhum nome de de jogador dado";"Ім'я не вказано";"Nadimak nije odabran";"Nincs megadva felhasználónév";"닉네임이 없습니다.";"Імя гульца не зададзена";"Nu s-a specificat vreun pseudonim.";"未\t提\t供\t暱\t稱";"未\t指\t定\t昵\t称";;
"chat/error/432";"{param0}: Nickname contains invalid characters";"{param0}: Le pseudo contient des caractères non valides";"{param0}: il Nickname contiene caratteri non validi";"{param0}: Dieser Nickname enthält unerlaubte Zeichen.";"{param0}: El apodo contiene caracteres no válidos";"{param0}: Имя содержит недопустимые символы";"{param0}: Pseudonim zawiera nieprawidłowe znaki";"{param0}: Přezdívka obsahuje neplatné znaky";"{param0}: kullanıcı adı geçersiz karakterler içeriyor";"{param0}：\t昵\t称\t包\t含\t非\t法\t字\t符";"プレイヤー\t名に\t使用できない\t文字列が\t含まれています。";"{param0}: Nome de jogador contém caracteres inválidos";"{param0}: Ім'я містить неприпустимі символи";"{param0}: Nadimak sadrži nepravilne karaktere";"{param0}: a felhasználónév érvénytelen karaktereket tartalmaz";"{param0}: 닉네임에 사용 불가능한 문자가 포함되어 있습니다.";"{param0}: Імя змяшчае недапушчальныя знакі";"{param0}: pseudonimul conține caractere nevalide.";"{param0}: 暱\t稱\t包\t含\t無\t效\t字\t元";"{param0}：\t昵\t称\t包\t含\t非\t法\t字\t符";;
"chat/error/433";"{param0}: Nickname is already in use";"{param0} : Pseudo déjà utilisé";"{param0}: Nickname già in uso";"{param0}: Nickname wird bereits verwendet";"{param0}: el apodo ya está siendo utilizado por otro usuario.";"{param0}: Данное имя уже используется";"{param0}: Pseudonim jest już w użyciu";"{param0}: Přezdívka je už použita";"{param0}: Kullanıcı adı zaten kullanılıyor";"{param0}：\t昵\t称\t已\t被\t占\t用";"{param0}:ニックネームは\t既に\t使用中です";"{param0}: Nome de jogador já está em uso";"{param0}: Дане ім'я вже використовується";"{param0} Nadimak je zauzet";"{param0}: ez a felhasználónév már használatban van";"{param0}: 이미 사용중인 닉네임입니다.";"{param0}: Гэтае імя ўжо выкарыстоўваецца іншым гульцом";"{param0}: pseudonimul este deja folosit.";"{param0}: 暱\t稱\t已\t被\t使\t用";"{param0}：\t昵\t称\t已\t被\t占\t用";;
"chat/error/436";"{param0}: Nickname collision KILL";"{param0} : Collision MORTELLE de pseudo";"{param0}: KILL per collisione nickname";"{param0}: Nickname-Kollision KILL";"{param0}: colisión de apodo KILL";"{param0}: Конфликт имён KILL";"{param0}: Konflikt pseudonimów KILL";"{param0}: Chyba kvůli kolizi přezdívek";"{param0}: Takma ad çakışmasından dolayı kesildi";"{param0}：\t昵\t称\t冲\t突 KILL";"{param0}: ニックネームの\t対立 KILL";"{param0}: Apelido de colisão MATAR";"{param0}: Конфлікт імен KILL";"{param0}: Identični nadimci KILL";"{param0}: felhasználónév-ütközés";"{param0}：닉네임 충돌 KILL";"{param0}: Канфлікт імёнаў KILL";"{param0}: coliziune pseudonim cu KILL.";"{param0}: 暱\t稱\t衝\t突 KILL";"{param0}：\t昵\t称\t冲\t突 KILL";;
