"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"events/no_entitlement";"Required {entitlement}";"Requis {entitlement}";"Richiesto {entitlement}";"Erfordert {entitlement}";"Requiere {entitlement}";"Требуется {entitlement}.";"Wymagane {entitlement}";"Potřebné {entitlement}";"Gerekli {entitlement}";"需\t要\t {entitlement}";"{entitlement} が\t必要";"{entitlement} necessário";"Required {entitlement}";"Потрібно {entitlement}";"Potrebno {entitlement}";"{entitlement} szükséges";"{entitlement} 필요";"Патрабуецца {entitlement}.";"Necesar {entitlement}";"需要 {entitlement}";"需\t要\t {entitlement}";;
"events/squad_is_too_big";"Your squad size is too big for this event ({squadSize}).
Maximum team size is: {maxTeamSize}";"La taille de votre escouade est trop grande pour cet événement ({squadSize}).
La taille maximale de l'équipe est de : {maxTeamSize}";"La tua squadra è troppo grande per questo evento ({squadSize}).
Il numero massimo è di: {maxTeamSize}";"Deine Staffel ist zu groß für dieses Ereignis ({squadSize}).
Maximale Staffelgröße: {maxTeamSize}";"El tamaño de tu escuadrón es muy grande para este evento ({squadSize}).
El tamaño máximo de tu equipo es: {maxTeamSize}";"Ваш отряд слишком многочислен для данного события ({squadSize}).
Максимальный размер команды: {maxTeamSize}";"Liczebność twojego oddziału ({squadSize}) jest zbyt duża, aby wziąć udział w tym wydarzeniu.
Maksymalna liczba członków to: {maxTeamSize}.";"Tvá skupina ({squadSize}) je příliš velká pro tento Event
Maximální velikost skupiny je {maxTeamSize}";"Takım boyutu ({squadSize}) bu etkinlik için çok büyük. Maksimum takım boyutu: {maxTeamSize}";"当\t前\t小\t队\t有\t {squadSize} \t名\t玩\t家\t，\t超\t出\t了\t该\t行\t动\t允\t许\t的\t组\t队\t上\t限\t（\t{maxTeamSize}\t）\t。";"あなたの\t分隊の\t人数がこの\tイベントの\t最大人数 ({squadSize}) を\t超えています。\t最大人数は {maxTeamSize} です。";"A dimensão da sua equipe é demasiado grande para este evento ({squadSize}).
A dimensão máxima da equipe é: {maxTeamSize}";"Your squad size is too big for this event ({squadSize}).
Maximum team size is: {maxTeamSize}";"Ваш загін занадто численний для цієї події ({squadSize}).
Максимальний розмір команди: {maxTeamSize}";"Tvoj sastav je prevelik za ovaj dogadjaj ({squadSize}).
Maksimum igrača u sastavu je: {maxTeamSize}";"Az osztagod mérete ({squadSize} fő) túl nagy ehhez az eseményhez.
A csapat maximális mérete {maxTeamSize} fő lehet.";"({squadSize}) 이벤트에 참가하기에 편대원 수가 너무 많습니다.
최대 허용 편대원 수: {maxTeamSize}";"Ваш атрад занадта вялікі для гэтай падзеі ({squadSize}).
Максімальны памер каманды: {maxTeamSize}";"Dimensiunea detașamentului este prea mare pentru acest eveniment ({squadSize}).
Numărul maxim este de: {maxTeamSize}";"当前小队有 {squadSize} 名玩家，超出了该行动允许的组队上限（{maxTeamSize}）。";"当\t前\t小\t队\t有\t {squadSize} \t名\t玩\t家\t，\t超\t出\t了\t该\t行\t动\t允\t许\t的\t组\t队\t上\t限\t（\t{maxTeamSize}\t）\t。";;
"events/squads_disabled";"Joining a squad is not available for this event.";"Rejoindre une escouade n'est pas possible pour cet événement.";"Non è possibile unirsi ad una squadra in questo evento.";"Dieses Ereignis ist für Staffeln nicht verfügbar.";"Unirse a un escuadrón no está disponible para este evento.";"В данном событии нельзя участвовать будучи в составе отряда.";"Oddziały nie mogą brać udziału w tym wydarzeniu.";"V tomto Eventu není připojení do skupiny k dispozici";"Bu etkinlikte bir takıma katılamazsınız.";"该\t行\t动\t不\t允\t许\t组\t队\t参\t与\t。";"この\tイベントには\t分隊では\t参加できません。";"A entrada em equipe não está disponível para este evento.";"Joining a squad is not available for this event.";"У цій події не можна брати участь перебуваючі у складі ланки.";"Odred nije dozvoljen za ovaj dogadjaj.";"Osztagok nem vehetnek részt ezen az eseményen.";"이 이벤트는 편대 구성을 한 채로 입장할 수 없습니다.";"У гэтай падзеі нельга браць удзел у складзе атрада.";"Crearea unui detașament cu este permisă în acest eveniment.";"该行动不允许组队参与。";"该\t行\t动\t不\t允\t许\t组\t队\t参\t与\t。";;
"events/no_selected_country";"Select a country from the participant list.";"Sélectionnez un pays dans la liste des participants.";"Il Paese selezionato non prende parte a questo evento";"Die ausgewählte Nation nimmt an diesem Ereignis nicht teil.";"El País seleccionado no participa en este evento";"Выберите страну, указанную в списке участвующих.";"Wybierz kraj z listy uczestników.";"Vyber si zemi ze seznamu";"Katılımcı listesinden bir ülke seçin.";"请\t选\t择\t参\t与\t了\t该\t军\t事\t行\t动\t的\t国\t家";"参加者\tリストから\t国を\t選択してください。";"O país selecionado não participa neste evento";"Select a country from the participant list.";"Виберіть країну, вказану в списку тих, що беруть участь.";"Izaberi državu sa liste učesnika.";"A kiválasztott nemzet nem vehet részt ezen az eseményen.";"선택 가능 국가 목록에 있는 국가를 선택하세요.";"Выберыце дзяржаву са спіса ўдзельнікаў.";"Selectează o țară din lista de participare.";"請選擇參與了該軍事行動的國家";"请\t选\t择\t参\t与\t了\t该\t军\t事\t行\t动\t的\t国\t家";;
"events/no_allowed_crafts";"Select one of allowed vehicles.";"Sélectionnez un des véhicules autorisés.";"Nessuna unità consentita selezionata.";"Du hast kein zugelassenes Fahrzeug ausgewählt.";"Seleccione uno de los vehículos permitidos.";"Выберите один из допущенных видов техники.";"Nie wybrano dozwolonego pojazdu";"Vyber jeden z povolených strojů";"İzin verilen araçlardan birini seçin.";"请\t选\t择\t符\t合\t要\t求\t的\t载\t具\t型\t号";"使用可能な\t機体から\t1機を\t選んで\t下さい。";"Nenhuma veículo permitida foi selecionada";"Select one of allowed vehicles.";"Виберіть один з допустимих видів техніки.";"Izaberi jedno od dozvoljenih vozila.";"A kiválasztott jármű nem vehet részt ezen az eseményen.";"사용 가능한 장비 중에서 선택해주세요.";"Выберыце адну з дазволеных машын.";"Selectează un vehicul acceptat.";"請選擇符合要求的載具型號";"请\t选\t择\t符\t合\t要\t求\t的\t载\t具\t型\t号";;
"events/no_required_crafts";"Missing one of required vehicles";"Un des véhicules requis est manquant";"Manca uno delle unità richieste";"Ein erforderliches Fahrzeug fehlt";"No se encuentra uno de los vehículos requeridos.";"Отсутствует требуемый вид техники";"Brakuje jednej z wymaganych maszyn.";"V sestavě nemáš potřebný stroj";"Gerekli araçlardan biri eksik";"缺\t少\t符\t合\t要\t求\t的\t载\t具\t型\t号\t。";"必要機体の\t1機が\t不足しています。";"Um dos veículos requeridos está em falta";"Missing one of required vehicles";"Відсутній необхідний вид техніки.";"Nedostaje jedno od potrebnih vozila.";"Hiányzik az egyik szükséges jármű";"필요한 장비 중 하나가 없습니다";"Няма патрабаванай машыны";"Lipsește un vehicul din cele necesare";"缺少符合要求的载具型号。";"缺\t少\t符\t合\t要\t求\t的\t载\t具\t型\t号\t。";;
"events/specialRequirements";"To participate, you need at least one vehicle in the hangar";"Pour participer, vous devez au moins avoir un véhicule dans le hangar";"Per partecipare, devi avere almeno una unità nell'hangar";"Um teilzunehmen, benötigst du mindestens ein Fahrzeug in deinem Deck";"Para participar, necesitas al menos un vehículo en el hangar";"Для участия необходима хотя бы одна единица техники в ангаре";"Aby wziąć udział, musisz mieć co najmniej jedną maszynę w hangarze";"K účasti potřebuješ alespoň jeden stroj na základně";"Katılmak için hangarda en az bir aracınızın olması gerekli";"必\t须\t在\t出\t击\t队\t列\t中\t准\t备\t至\t少\t一\t台\t载\t具\t才\t能\t参\t加";"参加するには、\t格納庫に\t最低\t1機以上の\t機体が\t必要です。";"Para participar, você precisa pelo menos um veículo no hangar";"To participate, you need at least one vehicle in the hangar";"Для участі необхідна хоча б одна техніка в ангарі";"Da bi učestvovao, potrebno ti je barem jedno vozilo u hangaru";"A részvételhez szükséged van legalább egy járműre a hangárban.";"참여를 위해 격납고에 적어도 한 대 이상 필요한 장비";"Для ўдзелу патрэбна хаця б адна машына ў слотах экіпажаў";"Pentru a participa, trebuie să existe cel puțin un vehicul în hangar";"必须在出击队列中准备至少一台载具才能参加";"必\t须\t在\t出\t击\t队\t列\t中\t准\t备\t至\t少\t一\t台\t载\t具\t才\t能\t参\t加";;
"events/no_specialRequirements";"No required vehicle in the hangar.";"Aucun véhicule requis n'est dans le hangar.";"Nessuna unità richieste nell' hangar.";"Keines der erforderten Fahrzeuge im Deck.";"Ningún vehículo en el hangar.";"Нет необходимой техники в ангаре.";"Brak wymaganej maszyny w hangarze.";"Žádný požadovaný stroj na základně";"Gerekli araçlardan hiçbiri hangarda yok.";"没\t有\t符\t合\t要\t求\t的\t载\t具\t。";"必要な\t機体が\t格納庫にありません。";"Nenhum veículo exigido no hangar.";"No required vehicle in the hangar.";"Немає необхідної техніки в ангарі.";"Nemate potrebno vozilo u hangaru.";"Nincs megfelelő járműved a hangárban.";"격납고에 사용할 수 있는 차량이 없습니다.";"У Ангары няма прыдатнай тэхнікі.";"În hangar nu se află nici un vehicul necesar";"没有符合要求的载具。";"没\t有\t符\t合\t要\t求\t的\t载\t具\t。";;
"events/rank";"rank %s";"grade %s";"era %s";"Rang %s";"Nivel %s";"ранг %s";"Era %s";"%s. úroveň";"rütbe %s";"%s \t级";"ランク %s";"nível %s";"rank %s";"ранг %s";"rang %s";"%s. rang";"랭크 %s";"ранг %s";"rang %s";"（%s 級）";"%s \t级";;
"events/br";"BR %s";"BR %s";"GC %s";"BR %s";"RB %s";"БР %s";"BR %s";"BR %s";"SP %s";"权\t重\t %s";"BR %s";"BR %s";"BR %s";"БР %s";"BR %s";"%s BR";"전투력 지수  %s";"БР %s";"NL %s";"權重 %s";"权\t重\t %s";;
"events/event_disabled";"The event has ended";"L évènement est terminé";"L'evento non è ancora iniziato";"Dieses Ereignis hat geendet";"El Evento aún no ha empezado";"Событие закончилось";"Wydarzenie zakończone";"Event skončil";"Etkinlik bitti";"该\t行\t动\t已\t结\t束";"イベントは\t終了しました";"O evento ainda não começou";"The event has ended";"Подія закінчилася";"Event je završen";"Az esemény véget ért.";"이벤트가 종료되었습니다.";"Падзея скончылася";"Evenimentul s-a încheiat";"該行動已結束";"该\t行\t动\t已\t结\t束";;
"events/event_not_started_yet";"The event has not started yet.";"L'événement n'a pas encore commencé.";"L'evento non è ancora iniziato.";"Das Ereignis hat noch nicht begonnen.";"Este evento aun no ha empezado.";"Событие ещё не началось.";"Wydarzenie jeszcze się nie rozpoczęło.";"Event ještě nezačal";"Etkinlik henüz başlamadı.";"该\t行\t动\t尚\t不\t可\t用\t。";"イベントはまだ\t開始されていません。";"O evento ainda não começou.";"The event has not started yet.";"Подія ще не почалася.";"Event još nije počeo.";"Az esemény még nem kezdődött el.";"이벤트가 아직 시작되지 않았습니다.";"Падзея яшчэ не пачалася.";"Evenimentul încă nu a început.";"该行动尚不可用。";"该\t行\t动\t尚\t不\t可\t用\t。";;
"events/event_is_testing";"The event is being tested. It is hidden from regular users.";"L'événement est à l'essai. Il est caché aux utilisateurs réguliers.";"L'evento è in fase di test. È nascosto agli utenti comuni.";"Dieses Ereignis wird getestet. Es ist für normale Benutzer nicht sichtbar.";"El evento está en fase de pruebas. No es visible para los usuarios regulares.";"Событие тестируется. Оно скрыто от обычных пользователей.";"Wydarzenie w trakcie testów. Jest ukryte dla zwykłych użytkowników.";"Probíhá testování eventu, pro běžné uživatele je skryt";"Etkinlik test ediliyor. Sıradanl kullanıcılardan gizleniyor.";"该\t军\t事\t行\t动\t尚\t处\t测\t试\t阶\t段\t，\t对\t普\t通\t用\t户\t隐\t藏";"イベントは\t現在\tテスト\t中です。\t一般\tユーザーからは\t隠されています。";"O evento está a ser testado. Ele está oculto da jogadores regulares.";"The event is being tested. It is hidden from regular users.";"Подія тестується. Вона прихована від звичайних користувачів.";"Ovaj događaj se testira. Sakriven je od standardnih korisnika.";"Az esemény tesztelése folyamatban van. Rejtve van a normál felhasználók elől.";"이 이벤트는 시험 중입니다. 일반 유저들은 볼 수 없습니다.";"Адбываецца тэставанне падзеі, таму яна схаваная ад звычайных гульцоў.";"Evenimentul este testat. Este ascuns utilizatorilor obișnuiți.";"該軍事行動尚處測試階段，對普通用戶隱藏";"该\t军\t事\t行\t动\t尚\t处\t测\t试\t阶\t段\t，\t对\t普\t通\t用\t户\t隐\t藏";;
"events/event_goes";"The event is ongoing";"L'événement est en cours";"L'evento è in svolgimento";"Dieses Ereignis läuft momentan";"El Evento está en curso";"Событие уже идёт";"Wydarzenie w trakcie";"Event probíhá";"Etkinlik devam ediyor";"该\t行\t动\t正\t在\t进\t行\t中";"イベントは\t継続中です";"Evento está em andamento";"The event is ongoing";"Подія вже йде";"Event je u toku";"Az esemény folyamatban van.";"이벤트 전투가 진행되고 있습니다.";"Падзея ўжо адбываецца";"Evenimentul este în desfășurare";"該行動正在進行中";"该\t行\t动\t正\t在\t进\t行\t中";;
"events/event_started_at";"Started: %s ago";"A commencé il y a %s";"Iniziato: %s fa";"Hat vor %s begonnen";"Comenzó hace %s";"Началось: %s назад";"Rozpoczęto: %s temu";"Spuštěno před %s";"Başladı: %s önce";"开\t始\t于\t：%s \t前";"開始まで % 秒";"Começou há: %s atrás";"Started: %s ago";"Почалося: %s назад";"Počelo pre: %s";"Kezdés óta eltelt idő: %s";"%s 전 시작";"Пачалося: %s назад";"A început acum: %s";"开始于：%s 前";"开\t始\t于\t：%s \t前";;
"events/event_starts_in";"Starts in: %s";"Commence dans: %s";"Inizia tra: %s";"Startet in: %s";"Comienza en: %s";"Начнётся через: %s";"Rozpoczyna się za: %s";"Začíná za %s";"%s içinde başlıyor";"开\t始\t时\t间\t：%s";"開始時間: %s";"Inicío em: %s";"Starts in: %s";"Почнеться через: %s";"Počinje za: %s";"Kezdés: %s";"시작까지: %s";"Пачнецца праз: %s";"Începe: %s";"開始時間：%s";"开\t始\t时\t间\t：%s";;
"events/event_ends_in";"Ends in: %s";"Se termine dans: %s";"Termina tra: %s";"Endet in: %s";"Finaliza en: %s";"Закончится через: %s";"Kończy się za: %s";"Končí za %s";"%s içinde bitiyor ";"结\t束\t时\t间\t：%s";"終了時間: %s";"Termina em: %s";"Ends in: %s";"Закінчиться через: %s";"Završava se za: %s";"Véget ér: %s";"남은 시간: %s";"Скончыцца праз: %s";"Sfârșește: %s";"結束時間：%s";"结\t束\t时\t间\t：%s";;
"events/featured_event";"Featured event:";"Événement vedette:";"Eventi in primo piano:";"Präsentiertes Ereignis:";"Eventos destacados:";"Рекомендуемое событие:";"Wyróżnione wydarzenie:";"Doporučený Event:";"Öne çıkan etkinlik:";"推\t荐\t行\t动\t：";"注目の\tイベント：";"Evento em destaque:";"Featured event:";"Рекомендована подія:";"Istaknut event:";"Kiemelt esemény:";"지정된 이벤트 전투:";"Прапанавая падзея:";"Eveniment recomandat:";"推薦行動：";"推\t荐\t行\t动\t：";;
"events/historical_common_desc";"The battles take place in a historical location. The vehicles list is limited to the vehicles that indeed fought in that period.";"Les batailles ont lieu sur l'emplacement historique. La liste des véhicules est limitée aux véhicules qui ont en effet combattu pendant cette période.";"Le battaglie si svolgono su ambientazioni storiche. La lista delle unità è limitata a quelli che combatterono durante quel periodo.";"Die Schlachten werden an historischen Einsatzorten ausgetragen und die Liste der verfügbaren Fahrzeuge ist auf Modelle der entsprechenden Periode beschränkt.";"Las batallas tienen lugar en un escenario histórico. La lista de vehículos está limitado a los vehículos que se enfrentaron en este período.";"Бои происходят на исторической локации, выбор техники ограничен списком той техники, которая действительно принимала участие в сражениях того периода.";"Bitwy odbywają się w historycznym miejscu. Lista pojazdów obejmuje tylko te, które walczyły w tym okresie.";"Bitvy se odehrávají v historických lokacích. Seznam strojů je omezen na typy, které skutečně bojovaly v daném období";"Savaşlar tarihi mekanlarda yer alıyor. Araçlar listesi gerçekten de o dönemde savaşmış araçlar ile sınırlıdır.";"该\t军\t事\t行\t动\t将\t依\t照\t史\t实\t限\t制\t参\t与\t载\t具\t型\t号";"この\t戦闘は\t史実の\t場所で\t行われます。\t機体\tリストは、\t当時実際に\t参戦した\t機体に\t限定されています。";"A batalha acontece em um local histórico  Lista de aviões se limitam à aeronave que realmente lutou nesse período.";"The battles take place in a historical location. The vehicles list is limited to the vehicles that indeed fought in that period.";"Бої відбуваються на історичній локації, вибір техніки обмежений списком тієї техніки, яка дійсно брала участь у битвах того періоду.";"Borbe se odvijaju na istorijskoj lokaciji. Lista vozila je ograničena na vozila koja se se zaista borila u tom periodu.";"Ez a csata egy történelmi helyszínen zajlik. A járművek listája korlátozva van azokra, melyek valóban harcoltak ebben az időszakban.";"실제로 전투가 벌어졌던 곳을 배경으로 하며 그 당시 사용된 장비들만 사용가능합니다.";"Баі адбываюцца на гістарычных месцах. Выбар тэхнікі абмежаваны той, якая сапраўды брала ўдзел у баях таго перыяду.";"Luptele au loc într-un loc istoric. Lista de vehicule este limitată la vehiculele care într-adevăr au luptat în acea perioadă.";"該軍事行動將依照史實限制參與載具型號";"该\t军\t事\t行\t动\t将\t依\t照\t要\t求\t限\t制\t参\t与\t载\t具\t型\t号";;
"events/hb_with_all_countries";"Realistic Battles mission with all countries taking part in it.";"Batailles Réalistes (connues précédemment comme Batailles Historiques) avec tous les pays qui y ont pris part.";"Le Battaglie Realistiche (conosciute in precedenza come Battaglie Storiche) sono missioni con tutte le nazioni che ne parteciparono.";"Realistische Schlachten, an denen alle Nationen teilnehmen können.";"Batallas realistas (antes conocidas como Batallas históricas) con todos los países que participan en él.";"Сражение по правилам Реалистичных боёв, в котором принимают участие все страны.";"Bitwy realistyczne (znane wcześniej jako Bitwy Historyczne) - misje, w których udział biorą wszystkie państwa.";"Realistické bitvy za účasti všech národů";"Tüm ülkelerin yer aldığı Gerçekçi Muharebeler.";"历\t史\t性\t能\t，\t不\t限\t制\t国\t家";"全ての\t国が\t参加する「リアリスティックバトル」\tミッション。";"Missão de Batalhas Realistas com todas as nações a participarem.";"Realistic Battles mission with all countries taking part in it.";"Битва за правилами Реалістичних боїв, в якій бере участь техніка усіх країн.";"Misija realnih bitaka u kojoj učestvuju sve zemlje.";"Realisztikus csaták, melyekben bármelyik nemzet részt vehet.";"모든 국가가 등장하는 리얼리스틱 전투";"Рэалістычныя баі — місіі, у якіх бяруць удзел усе дзяржавы.";"Misiune cu lupte realiste cu participarea tuturor țărilor în ea.";"所有國家都參加了歷史性能戰鬥任務";"历\t史\t性\t能\t，\t不\t限\t制\t国\t家";;
"events/rb_with_all_countries";"Simulator Battles mission with all countries taking part in it.";"Missions Simulateur avec tous les pays qui y ont pris part.";"Le Battaglie di Simulazioni hanno le nazioni che ne presero parte.";"Simulator-Schlacht mit allen Nationen.";"Batallas de simulador con todos los países que participan en él.";"Сражение по правилам Симуляторных боёв, в котором принимают участие все страны.";"Bitwy Symulacyjne - misje, w których udział biorą wszystkie państwa.";"Simulátorové bitvy za účasti všech národů";"Tüm ülkelerin yer aldığı Simülatör Muharebeleri.";"全\t真\t模\t拟\t，\t不\t限\t制\t国\t家";"全ての\t国が\t参加する「シミュレーターバトル」\tミッション。";"Missão de Batalhas de Simulação com todas as nações.";"Simulator Battles mission with all countries taking part in it.";"Битва за правилами Симуляторних боїв, в якій беруть участь усі країни.";"Misija Simulatorske bitke u kojoj učestvuju sve zemlje.";"Szimulátor csaták, melyekben bármelyik nemzet részt vehet.";"모든 국가가 등장하는 시뮬레이터 전투";"Сімуляцыйныя баі — місіі, у якіх бяруць удзел усе дзяржавы.";"Misiune cu lupte tip simulator cu participarea tuturor țărilor în ea.";"所有國家都參加了全真模擬戰鬥任務";"全\t真\t模\t拟\t，\t不\t限\t制\t国\t家";;
"events/ab_without_respawns";"Arcade Battles mission without respawns.";"Missions Arcade sans réapparitions.";"Battaglie Arcade senza rigenerazione.";"Arcade-Schlachten ohne Wiedereinstiege.";"Batallas Arcade sin reapariciones.";"Сражение по правилам Аркадных боёв, в котором отсутствуют возрождения.";"Bitwy zręcznościowe bez odradzania. ";"Zjednodušené bitvy s jedním nasazením";"Basitleştirilmiş Savaş yeniden türemesiz görev.";"街\t机\t娱\t乐\t，\t无\t法\t重\t生";"リスポーン\t無しの「アーケードバトル」\tミッション。";"Missão de Batalhas de Simulação sem respawns.";"Arcade Battles mission without respawns.";"Битва за правилами Аркадних боїв, в якій відсутні відродження.";"Misija Arkadnih borbi bez dodatnih života.";"Árkád csaták újraéledés nélkül.";"부활 불가능한 아케이드 전투";"Аркадныя баі без адраджэння.";"Misiune cu lupte arcade fără reintrări.";"無法重生的街機娛樂戰鬥任務";"标\t准\t战\t斗\t，\t无\t法\t重\t生";;
"events/air_bought";"You have this vehicle";"Vous avez ce véhicule";"Possiedi questa unità";"Du besitzt dieses Fahrzeug";"Tienes este vehículo";"У вас есть эта техника";"Masz ten pojazd";"Tento stroj máš";"Bu araca sahipsiniz";"已\t拥\t有\t该\t型\t号";"この\t機体を\t所有しています。";"Já tem esta aeronave";"You have this vehicle";"У вас є ця техніка";"Imate ovo vozilo";"Rendelkezel ezzel a járművel";"이미 가지고 있는 장비입니다.";"У вас ёсць гэтая машына";"Ai acest vehicul";"已擁有該型號";"已\t拥\t有\t该\t型\t号";;
